Transaction_id,Customer_ID,Product_id,Store_Location,Purchase_Date,Unit_Price,Quantity,Total_Price,Payment_Method,Order_Status
T101893,C580,P861,STORE_38,28-09-2023,763.22,4,3052.88,Credit Card,Completed
T101909,C1583,P934,STORE_25,07-12-2023,241.69,6,1450.14,Paypal,Completed
T101935,C1118,P644,STORE_6,29-01-2024,34.34,2,68.68,Paypal,Completed
T101936,C1073,P433,STORE_36,25-10-2023,759.65,8,6077.2,Cash,Completed
T101986,C1820,P28,STORE_39,21-05-2024,202.12,1,202.12,Paypal,Completed
T102036,C47,P127,STORE_41,23-03-2024,763.22,8,6105.76,Debit Card,Completed
T102066,C1006,P4107,STORE_39,25-04-2024,212.96,4,851.84,Paypal,Completed
T102072,C1733,P642,STORE_31,08-07-2024,767.45,3,2302.35,Credit Card,Cancelled
T102099,C1210,P561,STORE_13,28-02-2024,635.72,3,1907.16,Paypal,Cancelled
T102104,C931,P982,STORE_30,13-07-2024,507.17,3,1521.51,Credit Card,Completed
T102106,C1561,P702,STORE_31,17-10-2023,763.22,7,5342.54,Paypal,Cancelled
T10212,C747,P432,STORE_41,30-12-2023,879.28,2,1758.56,Debit Card,Completed
T102121,C1397,P2,STORE_49,21-05-2024,207.78,7,1454.46,Cash,Completed
T102126,C382,P283,STORE_35,29-11-2023,308.4,3,925.2,Paypal,Cancelled
T102133,C1007,P900,STORE_15,17-06-2024,735.59,9,6620.31,Paypal,Completed
T102145,C1945,P1875,STORE_49,11-07-2024,523.11,9,4707.99,Paypal,Completed
T102193,C956,P896,STORE_30,12-09-2024,927.1,8,7416.8,Paypal,Completed
T102207,C1526,P349,STORE_37,06-11-2023,927.1,9,8343.9,Paypal,Completed
T102288,C1648,P742,STORE_50,26-12-2023,696.15,3,2088.45,Paypal,Completed
T102302,C216,P31,STORE_5,14-05-2024,241.69,6,1450.14,Paypal,Completed
T102313,C1211,P599,STORE_44,24-10-2023,34.34,2,68.68,Paypal,Completed
T102355,C1089,P431,STORE_11,12-09-2024,234.76,4,939.04,Paypal,Completed
T102372,C904,P725,STORE_31,15-09-2024,740.88,3,2222.64,Paypal,Completed
T102374,C1545,P922,STORE_48,03-01-2024,997.38,4,3989.52,Paypal,Cancelled
T102376,C339,P425,STORE_33,18-08-2024,113.77,1,113.77,Paypal,Completed
T102377,C1626,P24,STORE_50,29-07-2024,945.45,4,3781.8,Paypal,Completed
T10239,C814,P640,STORE_11,11-10-2023,332.64,1,332.64,Paypal,Completed
T102545,C261,P644,STORE_19,02-05-2024,34.34,3,103.02,Paypal,Completed
T102552,C14,P6,STORE_40,01-07-2024,792.11,8,6336.88,Paypal,Completed
T102566,C212,P851,STORE_50,09-08-2024,644.04,5,3220.2,Paypal,Completed
T102593,C460,P74,STORE_31,04-05-2024,207.78,3,623.34,Paypal,Cancelled
T102605,C319,P861,STORE_34,22-03-2024,763.22,2,1526.44,Paypal,Cancelled
T102622,C1238,P427,STORE_46,27-04-2024,577.38,9,5196.42,Paypal,Completed
T102643,C569,P937,STORE_30,07-05-2024,507.17,1,507.17,Paypal,Completed
T102681,C416,P639,STORE_44,13-12-2023,429.94,2,859.88,Paypal,Completed
T102759,C1640,P644,STORE_33,15-05-2024,34.34,10,343.4,Paypal,Completed
T102770,C1431,P205,STORE_19,25-03-2024,577.38,4,2309.52,Paypal,Completed
T102772,C637,P944,STORE_33,09-10-2023,429.94,2,859.88,Paypal,Cancelled
T102801,C148,P719,STORE_33,31-05-2024,487.24,3,1461.72,Paypal,Cancelled
T102815,C604,P74,STORE_10,29-02-2024,207.78,3,623.34,Paypal,Completed
T102819,C1081,P1981,STORE_35,19-05-2024,673.73,4,2694.92,Paypal,Completed
T102829,C641,P981,STORE_48,09-10-2023,141.57,10,1415.7,Paypal,Completed
T102855,C1142,P483,STORE_33,25-10-2023,429.94,1,429.94,Paypal,Cancelled
T102861,C754,P360,STORE_47,23-05-2024,34.34,2,68.68,Paypal,Completed
T102879,C1962,P725,STORE_39,23-07-2024,740.88,3,2222.64,Paypal,Completed
T102887,C116,P369,STORE_36,06-08-2024,767.45,8,6139.6,Paypal,Cancelled
T102956,C1244,P531,STORE_33,20-09-2024,788.37,6,4730.22,Paypal,Completed
T102957,C1696,P55,STORE_44,25-03-2024,507.17,4,2028.68,Paypal,Cancelled
T10296,C1402,P861,STORE_1,13-07-2024,763.22,9,6868.98,Paypal,Completed
T102989,C1756,P875,STORE_33,11-07-2024,573.58,10,5735.8,Paypal,Completed
T10299,C930,P129,STORE_4,15-02-2024,927.1,9,8343.9,Paypal,Completed
T103002,C49,P523,STORE_38,19-06-2024,759.65,9,6836.85,Paypal,Completed
T10307,C727,P3,STORE_35,31-01-2024,529.42,6,3176.52,Paypal,Completed
T103079,C760,P681,STORE_6,30-12-2023,927.1,1,927.1,Paypal,Cancelled
T103120,C393,P114,STORE_36,04-06-2024,70.81,1,70.81,Paypal,Completed
T103129,C411,P742,STORE_39,10-09-2024,696.15,1,696.15,Paypal,Completed
T103146,C1207,P346,STORE_41,10-01-2024,160.33,9,1442.97,Paypal,Cancelled
T103172,C327,P113,STORE_39,20-05-2024,879.28,9,7913.52,Paypal,Completed
T103174,C662,P640,STORE_31,06-03-2024,332.64,2,665.28,Paypal,Completed
T103178,C888,P805,STORE_13,12-01-2024,207.78,6,1246.68,Paypal,Completed
T103220,C1262,P569,STORE_30,13-12-2023,673.73,9,6063.57,Credit Card,Completed
T103223,C1186,P558,STORE_31,25-02-2024,234.76,5,1173.8,Cash,Cancelled
T10323,C769,P861,STORE_41,15-09-2024,763.22,7,5342.54,Cash,Cancelled
T103236,C1083,P634,STORE_49,09-04-2024,290.75,8,2326,Credit Card,Cancelled
T103251,C1387,P796,STORE_35,12-08-2024,531.3,1,531.3,Paypal,Completed
T103276,C44,P102,STORE_15,12-02-2024,504.81,4,2019.24,Debit Card,Completed
T103297,C866,P398,STORE_49,26-02-2024,58.86,8,470.88,Debit Card,Completed
T103320,C1628,P254,STORE_30,05-09-2024,759.65,4,3038.6,Cash,Completed
T103334,C1173,P327,STORE_37,08-01-2024,207.78,7,1454.46,Paypal,Completed
T103395,C429,P977,STORE_50,24-08-2024,234.76,8,1878.08,Credit Card,Completed
T103396,C43,P796,STORE_5,06-12-2023,531.3,8,4250.4,Cash,Completed
T103440,C417,P95,STORE_44,22-03-2024,991.51,8,7932.08,Credit Card,Cancelled
T103462,C1500,P224,STORE_11,09-12-2023,368.44,1,368.44,Paypal,Cancelled
T103494,C1066,P1644,STORE_31,04-11-2023,442.36,6,2654.16,Credit Card,Completed
T103544,C653,P233,STORE_48,02-05-2024,141.57,6,849.42,Cash,Completed
T103560,C751,P916,STORE_33,27-03-2024,531.3,3,1593.9,Paypal,Completed
T103619,C1874,P215,STORE_50,06-07-2024,879.28,8,7034.24,Paypal,Completed
T103634,C333,P56,STORE_11,01-12-2023,696.15,8,5569.2,Paypal,Completed
T103661,C848,P705,STORE_15,22-12-2023,767.45,2,1534.9,Paypal,Completed
T103677,C794,P149,STORE_11,10-06-2024,241.69,8,1933.52,Paypal,Cancelled
T103687,C588,P110,STORE_6,22-07-2024,98.82,9,889.38,Paypal,Completed
T103696,C1836,P215,STORE_36,14-12-2023,879.28,1,879.28,Paypal,Completed
T103738,C478,P441,STORE_1,21-09-2024,507.17,8,4057.36,Debit Card,Cancelled
T103791,C651,P46,STORE_41,02-12-2023,34.34,1,34.34,Debit Card,Completed
T10380,C746,P425,STORE_14,30-12-2023,113.77,3,341.31,Debit Card,Completed
T103810,C1828,P1531,STORE_10,14-04-2024,39.49,8,315.92,Debit Card,Completed
T10386,C1359,P3,STORE_39,26-10-2023,529.42,9,4764.78,Debit Card,Completed
T103862,C1303,P24,STORE_9,06-12-2023,945.45,4,3781.8,Debit Card,Completed
T103891,C1760,P578,STORE_31,26-02-2024,326.79,1,326.79,Debit Card,Completed
T103907,C427,P629,STORE_16,19-01-2024,58.86,4,235.44,Paypal,Completed
T10393,C202,P393,STORE_7,23-05-2024,207.78,3,623.34,Credit Card,Completed
T103948,C1657,P366,STORE_10,13-09-2024,767.45,6,4604.7,Paypal,Cancelled
T103985,C1637,P999,STORE_46,19-07-2024,759.65,10,7596.5,Credit Card,Completed
T104006,C74,P50,STORE_11,05-03-2024,797.5,10,7975,Paypal,Completed
T10401,C686,P896,STORE_38,14-03-2024,927.1,2,1854.2,Debit Card,Cancelled
T10404,C813,P205,STORE_44,17-08-2024,577.38,5,2886.9,Cash,Completed
T104060,C576,P31,STORE_1,30-10-2023,241.69,4,966.76,Paypal,Completed
T104061,C1886,P926,STORE_33,06-07-2024,311.52,5,1557.6,Debit Card,Cancelled
T104117,C1155,P715,STORE_4,11-08-2024,207.78,4,831.12,Cash,Completed
T104154,C168,P893,STORE_38,16-03-2024,696.15,7,4873.05,Credit Card,Completed
T104156,C1349,P742,STORE_35,10-04-2024,696.15,5,3480.75,Cash,Completed
T104158,C409,P755,STORE_6,18-07-2024,70.81,8,566.48,Cash,Cancelled
T104170,C1221,P702,STORE_36,10-02-2024,763.22,6,4579.32,Cash,Completed
T104267,C1518,P882,STORE_39,09-09-2024,577.38,1,577.38,Paypal,Completed
T10432,C1177,P349,STORE_41,17-03-2024,927.1,7,6489.7,Paypal,Completed
T104346,C1479,P977,STORE_39,22-05-2024,234.76,5,1173.8,Debit Card,Completed
T104393,C1885,P129,STORE_31,04-09-2024,927.1,4,3708.4,Paypal,Cancelled
T104406,C842,P244,STORE_13,02-08-2024,429.94,4,1719.76,Credit Card,Cancelled
T104408,C541,P778,STORE_30,05-12-2023,332.64,6,1995.84,Credit Card,Completed
T10441,C891,P978,STORE_31,27-10-2023,879.28,3,2637.84,Cash,Cancelled
T104418,C702,P554,STORE_41,03-10-2023,740.88,7,5186.16,Cash,Cancelled
T104438,C1164,P1531,STORE_49,23-05-2024,39.49,6,236.94,Paypal,Cancelled
T104453,C917,P81,STORE_35,01-04-2024,326.79,7,2287.53,Paypal,Completed
T104479,C1222,P278,STORE_15,08-10-2023,434.78,7,3043.46,Paypal,Completed
T104486,C1779,P215,STORE_49,15-12-2023,879.28,9,7913.52,Paypal,Completed
T104531,C1678,P366,STORE_9,06-08-2024,767.45,4,3069.8,Paypal,Completed
T104542,C597,P916,STORE_31,07-09-2024,531.3,3,1593.9,Paypal,Completed
T104548,C108,P679,STORE_16,11-02-2024,98.82,3,296.46,Paypal,Cancelled
T104635,C449,P127,STORE_7,13-08-2024,763.22,4,3052.88,Paypal,Cancelled
T104641,C1025,P31,STORE_10,05-11-2023,241.69,1,241.69,Paypal,Cancelled
T104698,C303,P432,STORE_46,17-09-2024,879.28,7,6154.96,Paypal,Completed
T104721,C1472,P629,STORE_11,30-05-2024,58.86,6,353.16,Paypal,Completed
T104739,C1827,P897,STORE_38,23-04-2024,207.78,1,207.78,Paypal,Cancelled
T104837,C656,P779,STORE_44,15-03-2024,676.12,9,6085.08,Paypal,Completed
T104845,C846,P708,STORE_1,04-08-2024,879.28,5,4396.4,Paypal,Completed
T104848,C876,P937,STORE_33,15-11-2023,507.17,5,2535.85,Paypal,Completed
T104852,C338,P407,STORE_4,17-11-2023,767.45,10,7674.5,Paypal,Completed
T104892,C1739,P465,STORE_38,29-09-2023,577.38,1,577.38,Paypal,Cancelled
T104904,C101,P944,STORE_16,18-09-2024,429.94,1,429.94,Paypal,Cancelled
T104961,C1025,P180,STORE_7,09-08-2024,452.15,3,1356.45,Paypal,Completed
T105007,C857,P14,STORE_10,06-02-2024,487.24,3,1461.72,Paypal,Cancelled
T105022,C166,P180,STORE_46,01-12-2023,452.15,1,452.15,Paypal,Cancelled
T105060,C269,P1977,STORE_11,02-02-2024,529.42,3,1588.26,Debit Card,Completed
T105088,C84,P977,STORE_38,28-01-2024,234.76,3,704.28,Credit Card,Completed
T105090,C1535,P369,STORE_44,21-08-2024,767.45,8,6139.6,Credit Card,Cancelled
T105137,C190,P419,STORE_1,17-11-2023,113.77,2,227.54,Credit Card,Completed
T10514,C93,P113,STORE_33,03-12-2023,879.28,7,6154.96,Cash,Completed
T105195,C1087,P360,STORE_4,26-12-2023,34.34,8,274.72,Cash,Completed
T105212,C1659,P738,STORE_38,10-08-2024,763.22,2,1526.44,Cash,Completed
T105225,C1496,P81,STORE_48,24-11-2023,326.79,2,653.58,Paypal,Completed
T105294,C1882,P1981,STORE_48,25-02-2024,673.73,7,4716.11,Cash,Cancelled
T105409,C401,P346,STORE_31,14-09-2024,160.33,10,1603.3,Paypal,Cancelled
T10542,C961,P864,STORE_50,04-06-2024,615.07,2,1230.14,Credit Card,Completed
T105420,C161,P603,STORE_45,18-08-2024,11.54,8,92.32,Credit Card,Completed
T105447,C1250,P845,STORE_34,12-11-2023,927.1,2,1854.2,Credit Card,Completed
T105457,C1412,P978,STORE_28,13-10-2023,879.28,7,6154.96,Credit Card,Completed
T105463,C1686,P523,STORE_26,14-12-2023,759.65,8,6077.2,Credit Card,Cancelled
T105468,C1865,P4107,STORE_6,07-04-2024,212.96,1,212.96,Credit Card,Completed
T105501,C1022,P742,STORE_21,10-05-2024,696.15,1,696.15,Credit Card,Completed
T10562,C1588,P861,STORE_28,10-05-2024,763.22,3,2289.66,Credit Card,Completed
T105630,C1175,P215,STORE_47,30-06-2024,879.28,5,4396.4,Credit Card,Completed
T105638,C466,P913,STORE_16,21-09-2024,696.15,9,6265.35,Credit Card,Cancelled
T105704,C259,P250,STORE_46,11-07-2024,531.3,6,3187.8,Credit Card,Completed
T105740,C1100,P723,STORE_41,17-01-2024,241.69,6,1450.14,Credit Card,Cancelled
T105741,C380,P818,STORE_15,30-04-2024,740.88,5,3704.4,Credit Card,Completed
T105757,C1716,P3,STORE_48,02-08-2024,529.42,7,3705.94,Credit Card,Completed
T105780,C1332,P723,STORE_23,25-07-2024,241.69,1,241.69,Credit Card,Completed
T10579,C463,P34,STORE_20,26-02-2024,531.3,10,5313,Credit Card,Completed
T105791,C216,P639,STORE_22,29-04-2024,429.94,3,1289.82,Credit Card,Cancelled
T105796,C1833,P138,STORE_12,04-01-2024,763.22,3,2289.66,Credit Card,Completed
T105797,C52,P54,STORE_7,29-01-2024,879.28,9,7913.52,Credit Card,Completed
T105821,C1204,P39,STORE_24,07-07-2024,212.96,1,212.96,Credit Card,Completed
T105822,C792,P578,STORE_18,10-04-2024,326.79,8,2614.32,Credit Card,Cancelled
T105902,C1405,P513,STORE_2,18-12-2023,507.17,9,4564.53,Credit Card,Cancelled
T105928,C512,P327,STORE_20,15-09-2024,207.78,9,1870.02,Credit Card,Cancelled
T105994,C1801,P779,STORE_2,20-09-2024,676.12,3,2028.36,Credit Card,Completed
T106004,C1658,P188,STORE_23,09-02-2024,949.37,5,4746.85,Credit Card,Completed
T10602,C1588,P932,STORE_22,15-02-2024,759.65,9,6836.85,Credit Card,Completed
T106023,C754,P211,STORE_22,22-03-2024,948.86,8,7590.88,Cash,Completed
T106034,C671,P149,STORE_27,24-03-2024,241.69,10,2416.9,Cash,Completed
T10606,C1165,P224,STORE_25,29-12-2023,368.44,3,1105.32,Debit Card,Cancelled
T106121,C1143,P346,STORE_25,13-03-2024,160.33,10,1603.3,Credit Card,Cancelled
T106140,C1582,P965,STORE_32,08-08-2024,326.79,9,2941.11,Cash,Completed
T106142,C877,P369,STORE_28,13-08-2024,767.45,10,7674.5,Credit Card,Completed
T106157,C352,P114,STORE_21,08-03-2024,70.81,8,566.48,Cash,Completed
T106166,C1670,P619,STORE_47,19-06-2024,58.86,5,294.3,Cash,Cancelled
T106183,C703,P738,STORE_33,28-06-2024,763.22,7,5342.54,Cash,Completed
T106210,C1805,P864,STORE_45,25-05-2024,615.07,2,1230.14,Debit Card,Cancelled
T106272,C1962,P681,STORE_43,18-08-2024,927.1,8,7416.8,Credit Card,Cancelled
T106277,C62,P20,STORE_19,10-02-2024,763.22,2,1526.44,Debit Card,Completed
T10628,C1386,P796,STORE_44,18-10-2023,531.3,7,3719.1,Paypal,Cancelled
T106296,C68,P74,STORE_34,11-01-2024,207.78,2,415.56,Credit Card,Cancelled
T106297,C1295,P425,STORE_46,23-02-2024,113.77,6,682.62,Cash,Completed
T106299,C706,P180,STORE_20,27-05-2024,452.15,5,2260.75,Credit Card,Completed
T10632,C1859,P114,STORE_8,23-09-2024,70.81,10,708.1,Debit Card,Completed
T106357,C1006,P851,STORE_18,22-08-2024,644.04,5,3220.2,Credit Card,Completed
T106361,C14,P1875,STORE_27,14-08-2024,523.11,9,4707.99,Debit Card,Cancelled
T106387,C52,P970,STORE_3,01-09-2024,113.76,8,910.08,Paypal,Cancelled
T106412,C1191,P893,STORE_50,12-03-2024,696.15,4,2784.6,Paypal,Completed
T106420,C1836,P644,STORE_11,06-04-2024,34.34,4,137.36,Paypal,Completed
T106431,C199,P69,STORE_20,12-12-2023,961.39,6,5768.34,Cash,Cancelled
T106454,C892,P465,STORE_14,05-02-2024,577.38,6,3464.28,Credit Card,Completed
T106464,C48,P875,STORE_41,07-02-2024,573.58,4,2294.32,Paypal,Cancelled
T106467,C273,P234,STORE_40,23-05-2024,531.3,9,4781.7,Paypal,Cancelled
T106486,C298,P742,STORE_13,23-07-2024,696.15,9,6265.35,Paypal,Cancelled
T106494,C431,P244,STORE_16,24-07-2024,429.94,7,3009.58,Paypal,Cancelled
T106511,C1925,P778,STORE_11,05-01-2024,332.64,2,665.28,Paypal,Completed
T106552,C798,P254,STORE_27,18-10-2023,759.65,4,3038.6,Paypal,Cancelled
T106557,C256,P31,STORE_30,25-05-2024,241.69,7,1691.83,Paypal,Completed
T106558,C1952,P465,STORE_6,04-11-2023,577.38,3,1732.14,Paypal,Cancelled
T106597,C90,P725,STORE_20,15-02-2024,740.88,3,2222.64,Paypal,Completed
T106621,C1724,P536,STORE_28,07-04-2024,531.3,8,4250.4,Paypal,Cancelled
T106645,C43,P805,STORE_45,14-10-2023,207.78,6,1246.68,Paypal,Cancelled
T106661,C582,P725,STORE_8,26-08-2024,740.88,5,3704.4,Paypal,Cancelled
T106679,C140,P875,STORE_6,13-06-2024,573.58,9,5162.22,Paypal,Completed
T10668,C394,P896,STORE_11,15-04-2024,927.1,10,9271,Paypal,Completed
T106687,C1991,P248,STORE_29,27-12-2023,429.94,6,2579.64,Paypal,Completed
T106698,C53,P491,STORE_47,15-02-2024,507.17,10,5071.7,Paypal,Completed
T106708,C1085,P644,STORE_33,16-03-2024,34.34,9,309.06,Paypal,Completed
T106786,C387,P126,STORE_45,12-03-2024,759.65,10,7596.5,Paypal,Completed
T106812,C289,P406,STORE_43,10-08-2024,577.38,5,2886.9,Paypal,Completed
T10688,C664,P970,STORE_19,28-06-2024,113.76,4,455.04,Paypal,Cancelled
T106892,C1987,P114,STORE_44,17-07-2024,70.81,6,424.86,Paypal,Completed
T106929,C203,P642,STORE_34,10-05-2024,767.45,4,3069.8,Paypal,Completed
T106992,C1500,P816,STORE_47,31-01-2024,234.76,1,234.76,Paypal,Completed
T107034,C1640,P679,STORE_43,24-11-2023,98.82,5,494.1,Paypal,Completed
T107046,C653,P149,STORE_48,19-10-2023,241.69,6,1450.14,Paypal,Completed
T107072,C222,P138,STORE_34,22-10-2023,763.22,8,6105.76,Paypal,Completed
T107084,C993,P283,STORE_43,17-04-2024,308.4,9,2775.6,Paypal,Completed
T10713,C1592,P629,STORE_2,12-10-2023,58.86,1,58.86,Paypal,Completed
T107161,C500,P388,STORE_21,09-11-2023,326.79,9,2941.11,Paypal,Cancelled
T10717,C737,P965,STORE_29,26-06-2024,326.79,2,653.58,Debit Card,Completed
T10720,C1326,P127,STORE_30,21-09-2024,763.22,1,763.22,Debit Card,Cancelled
T107208,C163,P779,STORE_19,04-06-2024,676.12,1,676.12,Credit Card,Cancelled
T107228,C1457,P982,STORE_9,12-01-2024,507.17,7,3550.19,Credit Card,Completed
T10724,C1693,P738,STORE_11,30-09-2023,763.22,6,4579.32,Credit Card,Completed
T107244,C1241,P916,STORE_42,18-04-2024,531.3,6,3187.8,Credit Card,Completed
T107248,C746,P613,STORE_32,22-07-2024,577.38,4,2309.52,Credit Card,Completed
T107296,C1160,P890,STORE_47,31-07-2024,312.45,9,2812.05,Credit Card,Completed
T107310,C603,P714,STORE_33,11-10-2023,759.65,1,759.65,Credit Card,Completed
T107326,C693,P719,STORE_45,19-09-2024,487.24,8,3897.92,Credit Card,Cancelled
T107353,C1115,P796,STORE_43,11-03-2024,531.3,10,5313,Cash,Completed
T107363,C1122,P1977,STORE_19,04-03-2024,529.42,5,2647.1,Cash,Cancelled
T107373,C130,P893,STORE_44,13-03-2024,696.15,7,4873.05,Debit Card,Completed
T107405,C1735,P407,STORE_34,08-03-2024,767.45,4,3069.8,Credit Card,Cancelled
T107423,C267,P255,STORE_36,13-06-2024,452.15,1,452.15,Cash,Completed
T107478,C1731,P349,STORE_27,08-10-2023,927.1,1,927.1,Credit Card,Completed
T107515,C1534,P679,STORE_38,24-11-2023,98.82,1,98.82,Cash,Completed
T107516,C1471,P52,STORE_20,05-02-2024,452.15,7,3165.05,Cash,Completed
T10757,C347,P880,STORE_15,05-08-2024,241.69,5,1208.45,Cash,Completed
T107572,C236,P94,STORE_29,26-11-2023,487.24,6,2923.44,Debit Card,Completed
T107581,C1939,P205,STORE_16,21-08-2024,577.38,8,4619.04,Credit Card,Completed
T107586,C955,P94,STORE_42,05-05-2024,487.24,9,4385.16,Debit Card,Completed
T10764,C868,P715,STORE_30,20-11-2023,207.78,4,831.12,Paypal,Completed
T107641,C773,P554,STORE_29,08-06-2024,740.88,10,7408.8,Credit Card,Cancelled
T107690,C1978,P639,STORE_5,12-07-2024,429.94,7,3009.58,Cash,Completed
T107707,C479,P938,STORE_10,07-12-2023,759.65,4,3038.6,Credit Card,Completed
T107773,C1954,P981,STORE_48,21-03-2024,141.57,4,566.28,Debit Card,Cancelled
T107779,C838,P832,STORE_30,01-05-2024,927.1,2,1854.2,Cash,Cancelled
T107784,C1952,P843,STORE_10,12-08-2024,207.78,6,1246.68,Cash,Completed
T107811,C1822,P517,STORE_14,20-03-2024,452.15,10,4521.5,Cash,Completed
T107948,C1693,P880,STORE_31,08-01-2024,241.69,8,1933.52,Cash,Cancelled
T107974,C1867,P832,STORE_27,18-11-2023,927.1,6,5562.6,Cash,Completed
