Transaction_id,Customer_ID,Age,Gender,Loyalty_Member,Product_Type,product_id,Order_Status,Payment_Method,Total_Price,Unit_Price,Quantity,Purchase_Date,Channel,City,Store_Location
T102770,C1431,19,Male,No,Home,P205,Completed,Paypal,3683.12,920.78,4,25-03-2024,Online,Smithville,STORE_19
T102772,C637,68,Female,No,Toys,P944,Cancelled,Credit Card,1146.94,573.47,2,09-10-2023,Online,Richardside,STORE_32
T102801,C148,68,Female,No,Toys,P719,Cancelled,Paypal,2237.01,745.67,3,31-05-2024,Online,Mariaville,STORE_33
T102815,C604,63,Female,Yes,Beauty,P74,Completed,Credit Card,2481.06,827.02,3,29-02-2024,Physical,Holmesport,STORE_10
T102819,C1081,63,Female,Yes,Clothing,P1981,Completed,Credit Card,2694.92,673.73,4,19-05-2024,Online,Vasquezhaven,STORE_35
T102829,C641,33,Female,Yes,Toys,P981,Completed,Cash,1415.7,141.57,10,09-10-2023,store_type,Lake Lisa,store_id
T102855,C1142,33,Female,No,Beauty,P483,Cancelled,Credit Card,429.94,429.94,1,25-10-2023,Online,Taylorfort,STORE_22
T102861,C754,33,Female,No,Toys,P360,Completed,Cash,273.06,136.53,2,23-05-2024,Physical,Port Angela,STORE_47
T102879,C1962,33,Female,No,Books,P725,Completed,Paypal,990.6,330.2,3,23-07-2024,Physical,Lake Eric,STORE_29
T102887,C116,55,Male,No,Books,P369,Cancelled,Paypal,2856.64,357.08,8,06-08-2024,Physical,Schneiderview,STORE_36
T102956,C1244,42,Female,No,Books,P531,Completed,Debit Card,4730.22,788.37,6,20-09-2024,Online,Ericview,STORE_33
T102957,C1696,37,Female,No,Electronics,P55,Cancelled,Debit Card,336.32,84.08,4,25-03-2024,Online,Mathewshire,STORE_39
T10296,C1402,37,Female,Yes,Home,P861,Completed,Debit Card,2752.29,305.81,9,13-07-2024,Online,Valenzuelashire,STORE_39
T102989,C1756,76,Male,No,Electronics,P875,Completed,Debit Card,5735.8,573.58,10,11-07-2024,Physical,West Brandonshire,STORE_3
T10299,C930,58,Female,No,Books,P129,Completed,Debit Card,1896.48,210.72,9,15-02-2024,Online,West Lukefurt,STORE_19
T103002,C49,58,Female,No,Beauty,P523,Completed,Debit Card,8190.09,910.01,9,19-06-2024,Online,New Roberthaven,STORE_19
T10307,C727,25,Female,No,Beauty,P3,Completed,Debit Card,1410.06,235.01,6,31-01-2024,Physical,West Paulbury,STORE_18
T103079,C760,31,Female,No,Home,P681,Cancelled,Debit Card,807.01,807.01,1,30-12-2023,Online,Lake Brendaborough,STORE_25
T103120,C393,31,Female,Yes,Books,P114,Completed,Debit Card,713.46,713.46,1,04-06-2024,Physical,North Jacquelineshire,STORE_5
T103129,C411,31,Female,No,Electronics,P742,Completed,Debit Card,204.69,204.69,1,10-09-2024,Online,Jessicaton,STORE_40
T103146,C1207,55,Female,No,Toys,P346,Cancelled,Debit Card,1442.97,160.33,9,10-01-2024,Online,South Sonya,STORE_23
T103172,C327,55,Female,No,Electronics,P113,Completed,Cash,2889.09,321.01,9,20-05-2024,Physical,Adamsville,STORE_18
T103174,C662,34,Female,No,Books,P640,Completed,Credit Card,1994.18,997.09,2,06-03-2024,Online,Courtneyborough,STORE_9
T103178,C888,24,Male,No,Toys,P805,Completed,Paypal,5760.18,960.03,6,12-01-2024,store_type,Harrismouth,store_id
T103220,C1262,40,Female,Yes,Electronics,P569,Completed,Credit Card,2664.27,296.03,9,13-12-2023,Physical,Bondview,STORE_50
T103223,C1186,40,Female,No,Beauty,P558,Cancelled,Cash,1817.1,363.42,5,25-02-2024,Online,West Norma,STORE_25
T10323,C769,69,Male,Yes,Home,P861,Cancelled,Cash,2140.67,305.81,7,15-09-2024,Physical,North Curtisfurt,STORE_29
T103236,C1083,79,Male,Yes,Books,P634,Cancelled,Credit Card,2326,290.75,8,09-04-2024,Online,Lauraburgh,STORE_22
T103251,C1387,79,Male,Yes,Toys,P796,Completed,Paypal,50.26,50.26,1,12-08-2024,Physical,Calderonchester,STORE_28
T103276,C44,24,Female,No,Toys,P102,Completed,Debit Card,2019.24,504.81,4,12-02-2024,Physical,Lake Crystal,STORE_5
T103297,C866,24,Female,Yes,Beauty,P398,Completed,Debit Card,4289.84,536.23,8,26-02-2024,Physical,Port Sandrahaven,STORE_11
T103320,C1628,24,Female,No,Clothing,P254,Completed,Cash,2369.44,592.36,4,05-09-2024,Physical,Jaystad,STORE_28
T103334,C1173,46,Male,No,Clothing,P327,Completed,Paypal,6293.35,899.05,7,08-01-2024,Physical,Franklinburgh,STORE_44
T103395,C429,46,Male,No,Books,P977,Completed,Credit Card,1878.08,234.76,8,24-08-2024,Physical,South Monicachester,STORE_46
T103396,C43,80,Male,No,Toys,P796,Completed,Cash,402.08,50.26,8,06-12-2023,Physical,Hansonport,STORE_47
T103440,C417,80,Male,No,Home,P95,Cancelled,Credit Card,169.76,21.22,8,22-03-2024,Physical,Lake Timothyshire,STORE_4
T103462,C1500,36,Female,Yes,Toys,P224,Cancelled,Paypal,368.44,368.44,1,09-12-2023,Online,West Jenniferside,STORE_45
T103494,C1066,75,Female,Yes,Clothing,P1644,Completed,Credit Card,2654.16,442.36,6,04-11-2023,Physical,West Yesenia,STORE_27
T103544,C653,18,Female,Yes,Electronics,P233,Completed,Cash,2716.86,452.81,6,02-05-2024,Online,New Antonioview,STORE_8
T103560,C751,25,Male,No,Books,P916,Completed,Paypal,790.08,263.36,3,27-03-2024,Physical,Danielshire,STORE_44
T103619,C1874,25,Male,Yes,Beauty,P215,Completed,Paypal,7034.24,879.28,8,06-07-2024,Online,Leonburgh,STORE_9
T103634,C333,23,Male,Yes,Home,P56,Completed,Paypal,781.28,97.66,8,01-12-2023,Physical,Ortiztown,STORE_36
T103661,C848,23,Male,No,Books,P705,Completed,Paypal,1900.02,950.01,2,22-12-2023,Physical,Fisherton,STORE_15
T103677,C794,23,Male,No,Books,P149,Cancelled,Paypal,1933.52,241.69,8,10-06-2024,Physical,Port Jeromeland,STORE_11
T103687,C588,23,Male,No,Home,P110,Completed,Paypal,3737.52,415.28,9,22-07-2024,Online,South Jerryfurt,STORE_6
T103696,C1836,20,Female,No,Beauty,P215,Completed,Paypal,879.28,879.28,1,14-12-2023,Physical,West Dawnland,STORE_36
T103738,C478,56,Female,No,Clothing,P441,Cancelled,Debit Card,7735.68,966.96,8,21-09-2024,Online,Hansenview,STORE_1
T103791,C651,61,Male,No,Clothing,P46,Completed,Debit Card,34.34,34.34,1,02-12-2023,Physical,Grayview,STORE_41
T10380,C746,61,Male,No,Beauty,P425,Completed,Debit Card,383.79,127.93,3,30-12-2023,Physical,Fowlertown,STORE_14
T103810,C1828,61,Male,No,Electronics,P1531,Completed,Debit Card,315.92,39.49,8,14-04-2024,Physical,Allenfort,STORE_10
T10386,C1359,63,Female,No,Beauty,P3,Completed,Debit Card,2115.09,235.01,9,26-10-2023,Physical,Baileystad,STORE_29
T103862,C1303,27,Female,No,Toys,P24,Completed,Debit Card,3781.8,945.45,4,06-12-2023,Online,Holmesside,STORE_9
T103891,C1760,42,Male,No,Electronics,P578,Completed,Debit Card,950.45,950.45,1,26-02-2024,Online,Brianland,STORE_31
T103907,C427,75,Female,No,Toys,P629,Completed,Paypal,3233.68,808.42,4,19-01-2024,Physical,Port Laurabury,STORE_16
T10393,C202,75,Female,No,Clothing,P393,Completed,Credit Card,1694.46,564.82,3,23-05-2024,Physical,Port John,STORE_7
T103948,C1657,75,Female,No,Toys,P366,Cancelled,Paypal,5270.34,878.39,6,13-09-2024,Physical,Christensenmouth,STORE_10
T103985,C1637,24,Male,Yes,Electronics,P999,Completed,Credit Card,6620.7,662.07,10,19-07-2024,Physical,West Craigville,STORE_46
T104006,C74,77,Female,Yes,Beauty,P50,Completed,Paypal,7975,797.5,10,05-03-2024,Physical,Sotochester,STORE_11
T10401,C686,77,Female,No,Clothing,P896,Cancelled,Debit Card,1854.2,927.1,2,14-03-2024,Physical,Ruizchester,STORE_28
T10404,C813,77,Female,No,Home,P205,Completed,Cash,4603.9,920.78,5,17-08-2024,Physical,Kelleyberg,STORE_4
T104060,C576,60,Male,No,Books,P31,Completed,Paypal,105.52,26.38,4,30-10-2023,Physical,West Rebeccaland,STORE_50
T104061,C1886,60,Male,No,Electronics,P926,Cancelled,Debit Card,1557.6,311.52,5,06-07-2024,Online,Christopherbury,STORE_12
T104117,C1155,60,Male,Yes,Clothing,P715,Completed,Cash,2620.04,655.01,4,11-08-2024,Online,Port Nathan,STORE_8
T104154,C168,21,Male,No,Beauty,P893,Completed,Credit Card,2780.26,397.18,7,16-03-2024,Physical,Port Williamfort,STORE_41
T104156,C1349,19,Female,No,Electronics,P742,Completed,Cash,1023.45,204.69,5,10-04-2024,Physical,Morenohaven,STORE_15
T104158,C409,19,Female,No,Clothing,P755,Cancelled,Cash,566.48,70.81,8,18-07-2024,Physical,Larryfort,STORE_48
T104170,C1221,45,Female,No,Clothing,P702,Completed,Cash,815.34,135.89,6,10-02-2024,Online,Jaredshire,STORE_40
T104267,C1518,70,Female,No,Beauty,P882,Completed,Paypal,166.31,166.31,1,09-09-2024,Physical,Tannerburgh,STORE_50
T10432,C1177,29,Male,No,Toys,P349,Completed,Paypal,5068.21,724.03,7,17-03-2024,Online,New Katherineburgh,STORE_12
T104346,C1479,29,Male,No,Books,P977,Completed,Debit Card,1173.8,234.76,5,22-05-2024,Physical,Clineland,STORE_3
T104393,C1885,22,Female,Yes,Books,P129,Cancelled,Paypal,842.88,210.72,4,04-09-2024,Physical,Lake Colleen,STORE_27
T104406,C842,20,Male,No,Beauty,P244,Cancelled,Credit Card,2313.4,578.35,4,02-08-2024,Online,Lake Robert,STORE_17
T104408,C541,66,Female,Yes,Home,P778,Completed,Credit Card,1995.84,332.64,6,05-12-2023,Online,North Jason,STORE_6
T10441,C891,54,Female,No,Toys,P978,Cancelled,Cash,2652.75,884.25,3,27-10-2023,Physical,North Gregoryberg,STORE_30
T104418,C702,57,Female,No,Electronics,P554,Cancelled,Cash,5186.16,740.88,7,03-10-2023,Physical,Dennismouth,STORE_30
T104438,C1164,57,Female,Yes,Electronics,P1531,Cancelled,Paypal,236.94,39.49,6,23-05-2024,Online,North Jessemouth,STORE_25
T104453,C917,54,Male,No,Home,P81,Completed,Debit Card,2602.11,371.73,7,01-04-2024,Physical,East Albert,STORE_5
T104479,C1222,50,Male,Yes,Books,P278,Completed,Debit Card,4300.1,614.3,7,08-10-2023,store_type,Faithfort,store_id
T104486,C1779,50,Male,No,Beauty,P215,Completed,Credit Card,7913.52,879.28,9,15-12-2023,Physical,Cathyburgh,STORE_14
T104531,C1678,50,Male,No,Toys,P366,Completed,Credit Card,3513.56,878.39,4,06-08-2024,Online,North Dana,STORE_42
T104542,C597,50,Male,No,Books,P916,Completed,Debit Card,790.08,263.36,3,07-09-2024,Online,Port Heathermouth,STORE_1
T104548,C108,29,Male,Yes,Books,P679,Cancelled,Paypal,296.46,98.82,3,11-02-2024,Online,Andersonstad,STORE_6
T104635,C449,29,Male,No,Books,P127,Cancelled,Paypal,467.88,116.97,4,13-08-2024,store_type,Stevenshire,store_id
T104641,C1025,62,Male,No,Books,P31,Cancelled,Paypal,26.38,26.38,1,05-11-2023,Online,West Markshire,STORE_45
T104698,C303,62,Male,No,Books,P432,Completed,Paypal,1739.43,248.49,7,17-09-2024,Online,Contrerasfurt,STORE_6
T104721,C1472,49,Female,No,Toys,P629,Completed,Paypal,4850.52,808.42,6,30-05-2024,Online,Parkertown,STORE_6
T104739,C1827,19,Female,No,Clothing,P897,Cancelled,Paypal,856.44,856.44,1,23-04-2024,Physical,South Karenburgh,STORE_11
T104837,C656,41,Female,No,Books,P779,Completed,Paypal,6085.08,676.12,9,15-03-2024,Physical,East Christopher,STORE_7
T104845,C846,50,Male,No,Books,P708,Completed,Paypal,4813.9,962.78,5,04-08-2024,Physical,South Bryceland,STORE_28
T104848,C876,78,Male,Yes,Toys,P937,Completed,Paypal,750.45,150.09,5,15-11-2023,Online,Jeffreyview,STORE_6
T104852,C338,78,Male,No,Beauty,P407,Completed,Paypal,7674.5,767.45,10,17-11-2023,Physical,Nicoletown,STORE_5
T104892,C1739,80,Male,No,Clothing,P465,Cancelled,Paypal,11.54,11.54,1,29-09-2023,Physical,South Jeffreyshire,STORE_27
T104904,C101,80,Male,Yes,Toys,P944,Cancelled,Paypal,573.47,573.47,1,18-09-2024,Online,Davidfurt,STORE_43
T104961,C1025,71,Female,Yes,Beauty,P180,Completed,Paypal,2009.76,669.92,3,09-08-2024,Physical,West Markshire,STORE_11
T105007,C857,49,Male,No,Toys,P14,Cancelled,Paypal,1477.47,492.49,3,06-02-2024,Online,Lake Karen,STORE_8
T105022,C166,18,Male,No,Beauty,P180,Cancelled,Paypal,669.92,669.92,1,01-12-2023,Physical,Cookchester,STORE_7
T105060,C269,55,Female,No,Home,P1977,Completed,Debit Card,1588.26,529.42,3,02-02-2024,Physical,New Mary,STORE_26
T105088,C84,52,Male,No,Books,P977,Completed,Credit Card,704.28,234.76,3,28-01-2024,Online,West Nancy,STORE_45
T105090,C1535,52,Male,Yes,Books,P369,Cancelled,Credit Card,2856.64,357.08,8,21-08-2024,Online,Sylviaside,STORE_2
T105137,C190,31,Male,No,Electronics,P419,Completed,Credit Card,227.54,113.77,2,17-11-2023,Physical,West Robertchester,STORE_46
T10514,C93,63,Female,No,Electronics,P113,Completed,Cash,2247.07,321.01,7,03-12-2023,Physical,Hayesfurt,STORE_27
T105195,C1087,63,Female,Yes,Toys,P360,Completed,Cash,1092.24,136.53,8,26-12-2023,Online,Chaneyland,STORE_12
T105212,C1659,63,Female,No,Beauty,P738,Completed,Cash,1746.68,873.34,2,10-08-2024,Online,North Stevenstad,STORE_2
T105225,C1496,60,Male,No,Home,P81,Completed,Paypal,743.46,371.73,2,24-11-2023,Physical,Harryville,STORE_48
T105294,C1882,60,Male,No,Clothing,P1981,Cancelled,Cash,4716.11,673.73,7,25-02-2024,store_type,North Kathryn,store_id
T105409,C401,60,Male,No,Toys,P346,Cancelled,Paypal,1603.3,160.33,10,14-09-2024,Online,South Wayne,STORE_31
T10542,C961,19,Female,Yes,Toys,P864,Completed,Credit Card,1230.14,615.07,2,04-06-2024,Physical,South Melissa,STORE_50
T105420,C161,19,Female,No,Home,P603,Completed,Credit Card,4209.6,526.2,8,18-08-2024,Online,Hansenburgh,STORE_45
T105447,C1250,61,Male,No,Beauty,P845,Completed,Credit Card,554.86,277.43,2,12-11-2023,Online,Port Thomas,STORE_34
T105457,C1412,32,Female,No,Toys,P978,Completed,Credit Card,6189.75,884.25,7,13-10-2023,Physical,East Brenda,STORE_28
T105463,C1686,77,Male,No,Beauty,P523,Cancelled,Credit Card,7280.08,910.01,8,14-12-2023,Physical,West Carlview,STORE_26
