Transaction_id,Customer_ID,Product_id,Store_Location,Purchase_Date,Product_Type,Unit_Price,Quantity,Total_Price,Payment_Method,Channel,Order_Status,Loyalty_Member,Age,Gender,City
T101623,C1983,P211,STORE_18,2024-03-05,Books,948.86,10,9488.6,Credit Card,Physical,Completed,TRUE,76,Male,East William
T101683,C922,P978,STORE_8,2023-12-11,Electronics,879.28,10,8792.8,Cash,Online,Completed,FALSE,73,Male,North Frankberg
T101687,C618,P255,STORE_49,2023-10-28,Electronics,452.15,10,4521.5,Credit Card,Online,Cancelled,TRUE,67,Female,West Nancy
T101697,C1568,P327,STORE_17,2024-06-25,Clothing,207.78,7,1454.46,Paypal,Online,Completed,TRUE,50,Female,Garciachester
T101719,C36,P805,STORE_23,2024-08-03,Toys,207.78,6,1246.68,Credit Card,Online,Cancelled,TRUE,72,Male,South Angelaton
T101743,C1410,P129,STORE_15,2023-12-20,Books,927.1,9,8343.9,Cash,Physical,Completed,TRUE,79,Female,Spencermouth
T10175,C1925,P916,STORE_16,2024-05-08,Clothing,531.3,3,1593.9,Paypal,Physical,Completed,FALSE,30,Female,South Joseberg
T101783,C1481,P441,STORE_4,2024-04-27,Toys,507.17,4,2028.68,Paypal,Physical,Completed,TRUE,24,Female,East Sean
T101790,C1224,P179,STORE_27,2023-10-22,Books,697.35,9,6276.15,Paypal,Physical,Cancelled,TRUE,71,Female,Larsonborough
T101792,C1641,P250,STORE_14,2024-03-28,Beauty,531.3,6,3187.8,Debit Card,Physical,Cancelled,TRUE,71,Male,Stevenschester
T101806,C1989,P349,STORE_44,2024-06-12,Toys,927.1,8,7416.8,Paypal,Physical,Completed,TRUE,21,Male,Lake Gregory
T101823,C713,P778,STORE_1,2024-07-08,Home,332.64,5,1663.2,Credit Card,Online,Cancelled,TRUE,24,Male,Jacksonmouth
T101863,C540,P441,STORE_32,2024-02-22,Toys,507.17,7,3550.19,Paypal,Online,Completed,FALSE,37,Male,Robinsonstad
T10187,C1644,P707,STORE_4,2024-06-27,Books,927.1,1,927.1,Debit Card,Physical,Completed,TRUE,37,Male,Caitlinstad
T101893,C580,P861,STORE_38,2023-09-28,Home,763.22,4,3052.88,Credit Card,Physical,Completed,TRUE,72,Female,Michellefurt
T101909,C1583,P934,STORE_25,2023-12-07,Toys,241.69,6,1450.14,Paypal,Online,Completed,TRUE,25,Male,Markborough
T101935,C1118,P644,STORE_6,2024-01-29,Home,34.34,2,68.68,Paypal,Physical,Completed,TRUE,72,Male,North Linda
T101936,C1073,P433,STORE_36,2023-10-25,Toys,759.65,8,6077.2,Cash,Physical,Completed,TRUE,56,Female,Lake Adamberg
T101986,C1820,P28,STORE_39,2024-05-21,Toys,202.12,1,202.12,Paypal,Online,Completed,TRUE,56,Male,South Tylertown
T102036,C47,P127,STORE_41,2024-03-23,Books,763.22,8,6105.76,Debit Card,Physical,Completed,TRUE,62,Male,New Anthony
T102066,C1006,P4107,STORE_39,2024-04-25,Electronics,212.96,4,851.84,Paypal,Online,Completed,FALSE,64,Female,Garciaville
T102072,C1733,P642,STORE_31,2024-07-08,Electronics,767.45,3,2302.35,Credit Card,Physical,Cancelled,TRUE,64,Female,West Briannachester
T102099,C1210,P561,STORE_13,2024-02-28,Books,635.72,3,1907.16,Paypal,Online,Cancelled,TRUE,44,Female,Port Vincent
T102104,C931,P982,STORE_30,2024-07-13,Books,507.17,3,1521.51,Credit Card,Physical,Completed,TRUE,44,Female,West Timothyton
T102106,C1561,P702,STORE_31,2023-10-17,Clothing,763.22,7,5342.54,Paypal,Physical,Cancelled,TRUE,49,Male,Lake Kathleenchester
T10212,C747,P432,STORE_41,2023-12-30,Toys,879.28,2,1758.56,Debit Card,Physical,Completed,TRUE,49,Male,South Eric
T102121,C1397,P2,STORE_49,2024-05-21,Books,207.78,7,1454.46,Cash,Online,Completed,FALSE,27,Male,New Williamville
T102126,C382,P283,STORE_35,2023-11-29,Clothing,308.4,3,925.2,Paypal,Online,Cancelled,FALSE,30,Male,Benjaminfort
T102133,C1007,P900,STORE_15,2024-06-17,Electronics,735.59,9,6620.31,Paypal,Physical,Completed,FALSE,54,Male,New Patricia
T102145,C1945,P1875,STORE_49,2024-07-11,Beauty,523.11,9,4707.99,Paypal,Online,Completed,TRUE,46,Female,New David
T102193,C956,P896,STORE_30,2024-09-12,Clothing,927.1,8,7416.8,Paypal,Physical,Completed,TRUE,46,Female,Mauriceville
T102207,C1526,P349,STORE_37,2023-11-06,Toys,927.1,9,8343.9,Paypal,Physical,Completed,TRUE,58,Male,Kathyburgh
T102288,C1648,P742,STORE_50,2023-12-26,Electronics,696.15,3,2088.45,Paypal,Physical,Completed,TRUE,26,Male,Paulamouth
T102302,C216,P31,STORE_5,2024-05-14,Books,241.69,6,1450.14,Paypal,Physical,Completed,TRUE,26,Male,North Savannah
T102313,C1211,P599,STORE_44,2023-10-24,Books,34.34,2,68.68,Paypal,Physical,Completed,TRUE,64,Male,Cameronbury
T102355,C1089,P431,STORE_11,2024-09-12,Home,234.76,4,939.04,Paypal,Physical,Completed,TRUE,64,Male,South Michellefurt
T102372,C904,P725,STORE_31,2024-09-15,Books,740.88,3,2222.64,Paypal,Physical,Completed,TRUE,64,Male,Lake Maryburgh
T102374,C1545,P922,STORE_48,2024-01-03,Beauty,997.38,4,3989.52,Paypal,Physical,Cancelled,FALSE,55,Female,North Josephstad
T102376,C339,P425,STORE_33,2024-08-18,Beauty,113.77,1,113.77,Paypal,Online,Completed,TRUE,55,Female,West Chelsea
T102377,C1626,P24,STORE_50,2024-07-29,Toys,945.45,4,3781.8,Paypal,Physical,Completed,TRUE,24,Male,Erichaven
T10239,C814,P640,STORE_11,2023-10-11,Books,332.64,1,332.64,Paypal,Physical,Completed,TRUE,74,Male,Schmidtbury
T102545,C261,P644,STORE_19,2024-05-02,Home,34.34,3,103.02,Paypal,Physical,Completed,FALSE,28,Male,Nicholasview
T102552,C14,P6,STORE_40,2024-07-01,Toys,792.11,8,6336.88,Paypal,Online,Completed,TRUE,76,Female,Gilesville
T102566,C212,P851,STORE_50,2024-08-09,Electronics,644.04,5,3220.2,Paypal,Physical,Completed,FALSE,45,Male,Jenniferton
T102593,C460,P74,STORE_31,2024-05-04,Beauty,207.78,3,623.34,Paypal,Physical,Cancelled,TRUE,31,Male,Port Tonya
T102605,C319,P861,STORE_34,2024-03-22,Home,763.22,2,1526.44,Paypal,Online,Cancelled,TRUE,18,Female,West George
T102622,C1238,P427,STORE_46,2024-04-27,Electronics,577.38,9,5196.42,Paypal,Physical,Completed,FALSE,56,Female,Christopherview
T102643,C569,P937,STORE_30,2024-05-07,Toys,507.17,1,507.17,Paypal,Physical,Completed,FALSE,65,Male,New Lawrenceshire
T102681,C416,P639,STORE_44,2023-12-13,Clothing,429.94,2,859.88,Paypal,Physical,Completed,FALSE,20,Female,North Danielmouth
T102759,C1640,P644,STORE_33,2024-05-15,Home,34.34,10,343.4,Paypal,Online,Completed,TRUE,20,Male,North Ashleyton
T102770,C1431,P205,STORE_19,2024-03-25,Home,577.38,4,2309.52,Paypal,Physical,Completed,TRUE,19,Female,Smithville
T102772,C637,P944,STORE_33,2023-10-09,Toys,429.94,2,859.88,Paypal,Online,Cancelled,FALSE,68,Female,Richardside
T102801,C148,P719,STORE_33,2024-05-31,Toys,487.24,3,1461.72,Paypal,Online,Cancelled,TRUE,68,Female,Mariaville
T102815,C604,P74,STORE_10,2024-02-29,Beauty,207.78,3,623.34,Paypal,Physical,Completed,TRUE,63,Female,Holmesport
T102819,C1081,P1981,STORE_35,2024-05-19,Home,673.73,4,2694.92,Paypal,Online,Completed,FALSE,63,Female,Vasquezhaven
T102829,C641,P981,STORE_48,2023-10-09,Toys,141.57,10,1415.7,Paypal,Physical,Completed,TRUE,33,Female,Lake Lisa
T102855,C1142,P483,STORE_33,2023-10-25,Beauty,429.94,1,429.94,Paypal,Online,Cancelled,FALSE,33,Male,Taylorfort
T102861,C754,P360,STORE_47,2024-05-23,Toys,34.34,2,68.68,Paypal,Physical,Completed,TRUE,33,Male,Port Angela
T102879,C1962,P725,STORE_39,2024-07-23,Books,740.88,3,2222.64,Paypal,Online,Completed,TRUE,33,Male,Lake Eric
T102887,C116,P369,STORE_36,2024-08-06,Books,767.45,8,6139.6,Paypal,Physical,Cancelled,TRUE,76,Male,Schneiderview
T102956,C1244,P531,STORE_33,2024-09-20,Books,788.37,6,4730.22,Paypal,Online,Completed,TRUE,42,Female,Ericview
T102957,C1696,P55,STORE_44,2024-03-25,Books,507.17,4,2028.68,Paypal,Physical,Cancelled,TRUE,37,Male,Mathewshire
T10296,C1402,P861,STORE_1,2024-07-13,Home,763.22,9,6868.98,Paypal,Online,Completed,TRUE,37,Male,Valenzuelashire
T102989,C1756,P875,STORE_33,2024-07-11,Electronics,573.58,10,5735.8,Paypal,Online,Completed,TRUE,76,Male,West Brandonshire
T10299,C930,P129,STORE_4,2024-02-15,Books,927.1,9,8343.9,Paypal,Physical,Completed,TRUE,58,Female,West Lukefurt
T103002,C49,P523,STORE_38,2024-06-19,Beauty,759.65,9,6836.85,Paypal,Physical,Completed,TRUE,58,Female,New Roberthaven
T10307,C727,P3,STORE_35,2024-01-31,Beauty,529.42,6,3176.52,Paypal,Online,Completed,TRUE,26,Male,West Paulbury
T103079,C760,P681,STORE_6,2023-12-30,Home,927.1,1,927.1,Paypal,Physical,Cancelled,TRUE,31,Male,Lake Brendaborough
T103120,C393,P114,STORE_36,2024-06-04,Books,70.81,1,70.81,Paypal,Physical,Completed,TRUE,31,Female,North Jacquelineshire
T103129,C411,P742,STORE_39,2024-09-10,Electronics,696.15,1,696.15,Paypal,Online,Completed,TRUE,31,Female,Jessicaton
T103146,C1207,P346,STORE_41,2024-01-10,Toys,160.33,9,1442.97,Paypal,Physical,Cancelled,FALSE,55,Female,South Sonya
T103172,C327,P113,STORE_39,2024-05-20,Electronics,879.28,9,7913.52,Paypal,Online,Completed,FALSE,55,Female,Adamsville
T103174,C662,P640,STORE_31,2024-03-06,Books,332.64,2,665.28,Paypal,Physical,Completed,FALSE,34,Male,Courtneyborough
T103178,C888,P805,STORE_13,2024-01-12,Toys,207.78,6,1246.68,Paypal,Online,Completed,TRUE,24,Male,Harrismouth
T103220,C1262,P569,STORE_30,2023-12-13,Electronics,673.73,9,6063.57,Credit Card,Physical,Completed,TRUE,40,Female,Bondview
T103223,C1186,P558,STORE_31,2024-02-25,Beauty,234.76,5,1173.8,Cash,Physical,Cancelled,TRUE,40,Female,West Norma
T10323,C769,P861,STORE_41,2024-09-15,Home,763.22,7,5342.54,Cash,Physical,Cancelled,TRUE,69,Male,North Curtisfurt
T103236,C1083,P634,STORE_49,2024-04-09,Books,290.75,8,2326,Credit Card,Online,Cancelled,TRUE,79,Male,Lauraburgh
T103251,C1387,P796,STORE_35,2024-08-12,Electronics,531.3,1,531.3,Paypal,Online,Completed,TRUE,79,Male,Calderonchester
T103276,C44,P102,STORE_15,2024-02-12,Clothing,504.81,4,2019.24,Debit Card,Physical,Completed,TRUE,24,Female,Lake Crystal
T103297,C866,P398,STORE_49,2024-02-26,Beauty,58.86,8,470.88,Debit Card,Online,Completed,TRUE,24,Male,Port Sandrahaven
T103320,C1628,P254,STORE_30,2024-09-05,Clothing,759.65,4,3038.6,Cash,Physical,Completed,FALSE,24,Male,Jaystad
T103334,C1173,P327,STORE_37,2024-01-08,Clothing,207.78,7,1454.46,Paypal,Physical,Completed,TRUE,46,Male,Franklinburgh
T103395,C429,P977,STORE_50,2024-08-24,Books,234.76,8,1878.08,Credit Card,Physical,Completed,TRUE,46,Male,South Monicachester
T103396,C43,P796,STORE_5,2023-12-06,Electronics,531.3,8,4250.4,Cash,Physical,Completed,TRUE,80,Male,Hansonport
T103440,C417,P95,STORE_44,2024-03-22,Home,991.51,8,7932.08,Credit Card,Physical,Cancelled,TRUE,80,Male,Lake Timothyshire
T103462,C1500,P224,STORE_11,2023-12-09,Clothing,368.44,1,368.44,Paypal,Physical,Cancelled,FALSE,36,Female,West Jenniferside
T103494,C1066,P1644,STORE_31,2023-11-04,Clothing,442.36,6,2654.16,Credit Card,Physical,Completed,TRUE,75,Female,West Yesenia
T103544,C653,P233,STORE_48,2024-05-02,Electronics,141.57,6,849.42,Cash,Physical,Completed,TRUE,18,Female,New Antonioview
T103560,C751,P916,STORE_33,2024-03-27,Clothing,531.3,3,1593.9,Paypal,Online,Completed,TRUE,25,Male,Danielshire
T103619,C1874,P215,STORE_50,2024-07-06,Beauty,879.28,8,7034.24,Paypal,Physical,Completed,FALSE,25,Male,Leonburgh
T103634,C333,P56,STORE_11,2023-12-01,Home,696.15,8,5569.2,Paypal,Physical,Completed,TRUE,23,Male,Ortiztown
T103661,C848,P705,STORE_15,2023-12-22,Books,767.45,2,1534.9,Paypal,Physical,Completed,TRUE,23,Male,Fisherton
T103677,C794,P149,STORE_11,2024-06-10,Books,241.69,8,1933.52,Paypal,Physical,Cancelled,TRUE,23,Male,Port Jeromeland
T103687,C588,P110,STORE_6,2024-07-22,Home,98.82,9,889.38,Paypal,Physical,Completed,TRUE,23,Male,South Jerryfurt
T103696,C1836,P215,STORE_36,2023-12-14,Beauty,879.28,1,879.28,Paypal,Physical,Completed,TRUE,20,Male,West Dawnland
T103738,C478,P441,STORE_1,2024-09-21,Toys,507.17,8,4057.36,Debit Card,Online,Cancelled,FALSE,56,Female,Hansenview
T103791,C651,P46,STORE_41,2023-12-02,Clothing,34.34,1,34.34,Debit Card,Physical,Completed,TRUE,61,Male,Grayview
T10380,C746,P425,STORE_14,2023-12-30,Beauty,113.77,3,341.31,Debit Card,Physical,Completed,FALSE,61,Male,Fowlertown
T103810,C1828,P1531,STORE_10,2024-04-14,Electronics,39.49,8,315.92,Debit Card,Physical,Completed,TRUE,61,Male,Allenfort
T10386,C1359,P3,STORE_39,2023-10-26,Beauty,529.42,9,4764.78,Debit Card,Online,Completed,FALSE,63,Male,Baileystad
T103862,C1303,P24,STORE_9,2023-12-06,Toys,945.45,4,3781.8,Debit Card,Online,Completed,TRUE,27,Female,Holmesside
T103891,C1760,P578,STORE_31,2024-02-26,Electronics,326.79,1,326.79,Debit Card,Physical,Completed,FALSE,42,Male,Brianland
T103907,C427,P629,STORE_16,2024-01-19,Toys,58.86,4,235.44,Paypal,Physical,Completed,TRUE,75,Female,Port Laurabury
T10393,C202,P393,STORE_7,2024-05-23,Clothing,207.78,3,623.34,Credit Card,Physical,Completed,TRUE,50,Male,Port John
T103948,C1657,P366,STORE_10,2024-09-13,Toys,767.45,6,4604.7,Paypal,Physical,Cancelled,TRUE,75,Female,Christensenmouth
T103985,C1637,P999,STORE_46,2024-07-19,Electronics,759.65,10,7596.5,Credit Card,Physical,Completed,FALSE,24,Male,West Craigville
T104006,C74,P50,STORE_11,2024-03-05,Beauty,797.5,10,7975,Paypal,Physical,Completed,FALSE,65,Female,Sotochester
T10401,C686,P896,STORE_38,2024-03-14,Clothing,927.1,2,1854.2,Debit Card,Physical,Cancelled,TRUE,77,Female,Ruizchester
T10404,C813,P205,STORE_44,2024-08-17,Home,577.38,5,2886.9,Cash,Physical,Completed,TRUE,77,Female,Kelleyberg
T104060,C576,P31,STORE_1,2023-10-30,Books,241.69,4,966.76,Paypal,Online,Completed,TRUE,60,Female,West Rebeccaland
T104061,C1886,P926,STORE_33,2024-07-06,Electronics,311.52,5,1557.6,Debit Card,Online,Cancelled,FALSE,60,Male,Christopherbury
T104117,C1155,P715,STORE_4,2024-08-11,Clothing,207.78,4,831.12,Cash,Physical,Completed,TRUE,60,Male,Port Nathan
T104154,C168,P893,STORE_38,2024-03-16,Beauty,696.15,7,4873.05,Credit Card,Physical,Completed,TRUE,21,Male,Port Williamfort
T104156,C1349,P742,STORE_35,2024-04-10,Electronics,696.15,5,3480.75,Cash,Online,Completed,TRUE,19,Male,Morenohaven
T104158,C409,P755,STORE_6,2024-07-18,Clothing,70.81,8,566.48,Cash,Physical,Cancelled,FALSE,19,Female,Larryfort
T104170,C1221,P702,STORE_36,2024-02-10,Clothing,763.22,6,4579.32,Cash,Physical,Completed,TRUE,45,Female,Jaredshire
T104267,C1518,P882,STORE_39,2024-09-09,Clothing,577.38,1,577.38,Paypal,Online,Completed,TRUE,70,Female,Tannerburgh
T10432,C1177,P349,STORE_41,2024-03-17,Toys,927.1,7,6489.7,Paypal,Physical,Completed,TRUE,29,Male,New Katherineburgh
T104346,C1479,P977,STORE_39,2024-05-22,Books,234.76,5,1173.8,Debit Card,Online,Completed,TRUE,29,Male,Clineland
T104393,C1885,P129,STORE_31,2024-09-04,Books,927.1,4,3708.4,Paypal,Physical,Cancelled,FALSE,22,Female,Lake Colleen
T104406,C842,P244,STORE_13,2024-08-02,Beauty,429.94,4,1719.76,Credit Card,Online,Cancelled,FALSE,20,Male,Lake Robert
T104408,C541,P778,STORE_30,2023-12-05,Home,332.64,6,1995.84,Credit Card,Physical,Completed,TRUE,66,Female,North Jason
T10441,C891,P978,STORE_31,2023-10-27,Electronics,879.28,3,2637.84,Cash,Physical,Cancelled,TRUE,54,Male,North Gregoryberg
T104418,C702,P554,STORE_41,2023-10-03,Electronics,740.88,7,5186.16,Cash,Physical,Cancelled,FALSE,67,Male,Dennismouth
T104438,C1164,P1531,STORE_49,2024-05-23,Electronics,39.49,6,236.94,Paypal,Online,Cancelled,TRUE,57,Female,North Jessemouth
T104453,C917,P81,STORE_35,2024-04-01,Home,326.79,7,2287.53,Paypal,Online,Completed,FALSE,54,Male,East Albert
T104479,C1222,P278,STORE_15,2023-10-08,Toys,434.78,7,3043.46,Paypal,Physical,Completed,TRUE,50,Male,Faithfort
T104486,C1779,P215,STORE_49,2023-12-15,Beauty,879.28,9,7913.52,Paypal,Online,Completed,TRUE,50,Male,Cathyburgh
T104531,C1678,P366,STORE_9,2024-08-06,Toys,767.45,4,3069.8,Paypal,Online,Completed,TRUE,50,Male,North Dana
T104542,C597,P916,STORE_31,2024-09-07,Clothing,531.3,3,1593.9,Paypal,Physical,Completed,TRUE,50,Male,Port Heathermouth
T104548,C108,P679,STORE_16,2024-02-11,Books,98.82,3,296.46,Paypal,Physical,Cancelled,FALSE,74,Male,Andersonstad
T104635,C449,P127,STORE_7,2024-08-13,Books,763.22,4,3052.88,Paypal,Physical,Cancelled,TRUE,29,Male,Stevenshire
T104641,C1025,P31,STORE_10,2023-11-05,Books,241.69,1,241.69,Paypal,Physical,Cancelled,TRUE,62,Male,West Markshire
T104698,C303,P432,STORE_46,2024-09-17,Toys,879.28,7,6154.96,Paypal,Physical,Completed,TRUE,62,Female,Contrerasfurt
T104721,C1472,P629,STORE_11,2024-05-30,Toys,58.86,6,353.16,Paypal,Physical,Completed,FALSE,49,Female,Parkertown
T104739,C1827,P897,STORE_38,2024-04-23,Home,207.78,1,207.78,Paypal,Physical,Cancelled,TRUE,19,Male,South Karenburgh
T104837,C656,P779,STORE_44,2024-03-15,Books,676.12,9,6085.08,Paypal,Physical,Completed,TRUE,41,Female,East Christopher
T104845,C846,P708,STORE_1,2024-08-04,Books,879.28,5,4396.4,Paypal,Online,Completed,TRUE,50,Male,South Bryceland
T104848,C876,P937,STORE_33,2023-11-15,Toys,507.17,5,2535.85,Paypal,Online,Completed,TRUE,78,Male,Jeffreyview
T104852,C338,P407,STORE_4,2023-11-17,Beauty,767.45,10,7674.5,Paypal,Physical,Completed,TRUE,78,Male,Nicoletown
T104892,C1739,P465,STORE_38,2023-09-29,Home,577.38,1,577.38,Paypal,Physical,Cancelled,FALSE,80,Male,South Jeffreyshire
T104904,C101,P944,STORE_16,2024-09-18,Toys,429.94,1,429.94,Paypal,Physical,Cancelled,FALSE,80,Male,Davidfurt
T104961,C1025,P180,STORE_7,2024-08-09,Beauty,452.15,3,1356.45,Paypal,Physical,Completed,TRUE,62,Male,West Markshire
T105007,C857,P14,STORE_10,2024-02-06,Toys,487.24,3,1461.72,Paypal,Physical,Cancelled,TRUE,49,Male,Lake Karen
T105022,C166,P180,STORE_46,2023-12-01,Beauty,452.15,1,452.15,Paypal,Physical,Cancelled,FALSE,18,Male,Cookchester
T105060,C269,P1977,STORE_11,2024-02-02,Beauty,529.42,3,1588.26,Debit Card,Physical,Completed,TRUE,55,Female,New Mary
T105088,C84,P977,STORE_38,2024-01-28,Books,234.76,3,704.28,Credit Card,Physical,Completed,FALSE,65,Male,West Nancy
T105090,C1535,P369,STORE_44,2024-08-21,Books,767.45,8,6139.6,Credit Card,Physical,Cancelled,TRUE,52,Male,Sylviaside
T105137,C190,P419,STORE_1,2023-11-17,Electronics,113.77,2,227.54,Credit Card,Online,Completed,TRUE,31,Male,West Robertchester
T10514,C93,P113,STORE_33,2023-12-03,Electronics,879.28,7,6154.96,Cash,Online,Completed,TRUE,63,Female,Hayesfurt
T105195,C1087,P360,STORE_4,2023-12-26,Toys,34.34,8,274.72,Cash,Physical,Completed,TRUE,63,Female,Chaneyland
T105212,C1659,P738,STORE_38,2024-08-10,Beauty,763.22,2,1526.44,Cash,Physical,Completed,TRUE,63,Female,North Stevenstad
