transaction_id,customer_id,transaction_date,product_id,product_category,quantity,price_per_unit,total_amount,city,state
10036,C1048,2025-04-01,P400,Sports,5,77.27,386.35,Joshuaburgh,California
10037,C1450,2024-10-09,P500,Beauty,4,198.16,792.64,Barajasshire,Minnesota
10038,C1342,2024-11-25,P102,Electronics,1,74.77,74.77,Watsonstad,New York
10039,C1038,2025-02-21,P300,Home & Kitchen,5,16.61,83.05,Craighaven,Rhode Island
10040,C1348,2025-01-22,P102,Electronics,3,427.83,1283.49,South Roberthaven,Vermont
10041,C2819,2024-12-29,P200,Clothing,4,382.24,1528.96,Contrerasfort,Arizona
10042,C1998,2024-08-16,P201,Clothing,3,244.67,734.01,Michaelfort,Mississippi
10043,C1504,2024-12-14,P102,Electronics,3,317.47,952.41,New Marisa,Iowa
10044,C1420,2024-08-31,P100,Electronics,1,276.87,276.87,Cohenberg,New Mexico
10045,C1918,2025-01-29,P501,Beauty,2,10.59,21.18,Colemanshire,North Dakota
10046,C2447,2025-07-01,P100,Electronics,4,198.84,795.36,East Nicole,West Virginia
10047,C3928,2024-09-13,P300,Home & Kitchen,4,346.52,1386.08,East Alexisside,Tennessee
10048,C1919,2024-11-23,P101,Electronics,2,495.48,990.96,Lake Roy,North Carolina
10049,C2366,2025-05-06,P101,Electronics,3,47.38,142.14,Melissafort,New Hampshire
10050,C3476,2025-05-24,P101,Electronics,1,448.84,448.84,Traceystad,Kentucky
10051,C3456,2024-09-22,P200,Clothing,4,269.94,1079.76,Vegashire,Colorado
10052,C3733,2025-05-25,P202,Clothing,4,83.61,334.44,Reedfort,Tennessee
10053,C1425,2024-09-24,P302,Home & Kitchen,3,180.71,542.13,Kellerburgh,North Carolina
10054,C3913,2025-02-19,P301,Home & Kitchen,3,467.11,1401.33,Jonathanmouth,Montana
10055,C1600,2025-05-27,P100,Electronics,2,391.11,782.22,East Thomas,Connecticut
10056,C2959,2025-02-25,P300,Home & Kitchen,4,228.88,915.52,North Susanside,Vermont
10057,C3976,2025-04-29,P100,Electronics,5,219.45,1097.25,Kyleton,Nebraska
10058,C1522,2024-09-26,P300,Home & Kitchen,1,168.3,168.3,Port Josephbury,Nebraska
10059,C2736,2025-04-07,P201,Clothing,3,166.46,499.38,Maxwellberg,Connecticut
10060,C3607,2024-09-25,P402,Sports,4,304.85,1219.4,East Angel,Virginia
10061,C3250,2025-04-17,P300,Home & Kitchen,2,197.76,395.52,Romanmouth,Nevada
10062,C3196,2025-03-13,P402,Sports,5,251.37,1256.85,Johnberg,Alabama
10063,C2727,2025-05-26,P201,Clothing,1,294.67,294.67,Whiteside,Indiana
10064,C1963,2024-10-12,P502,Beauty,2,354.52,709.04,Kellybury,Iowa
10065,C1070,2025-01-08,P300,Home & Kitchen,2,497.01,994.02,North Brendanhaven,Arizona
10066,C1451,2024-09-08,P302,Home & Kitchen,4,479.23,1916.92,East Erika,Missouri
10067,C1570,2025-04-26,P101,Electronics,3,425.89,1277.67,Port Christine,New York
10068,C3258,2025-05-28,P301,Home & Kitchen,2,419.27,838.54,North Aaronstad,Indiana
10069,C1228,2024-11-07,P400,Sports,2,415.63,831.26,New Andreabury,Nebraska
10070,C1107,2024-12-04,P200,Clothing,2,194.96,389.92,Keithville,North Dakota
10071,C3714,2025-04-12,P401,Sports,1,353.69,353.69,Michelleton,Nevada
10072,C1647,2024-10-18,P500,Beauty,4,420.34,1681.36,East Randy,Rhode Island
10073,C2003,2025-02-09,P100,Electronics,3,79.23,237.69,East Ashleyfort,Massachusetts
10074,C2705,2025-04-29,P100,Electronics,5,417.22,2086.1,Port Marcus,Connecticut
10075,C3160,2024-12-27,P200,Clothing,4,374.34,1497.36,Lake Patty,Nebraska
10076,C2818,2025-06-28,P301,Home & Kitchen,4,364.05,1456.2,Joneston,West Virginia
10077,C3631,2025-06-20,P101,Electronics,1,86.38,86.38,New Robertville,Hawaii
10078,C1044,2024-07-27,P102,Electronics,2,256.61,513.22,North Theresatown,Alaska
10079,C2056,2025-06-28,P401,Sports,4,281.54,1126.16,Andrewfurt,Missouri
10080,C2735,2025-04-20,P502,Beauty,3,357.58,1072.74,Lake Dustinmouth,Pennsylvania
10081,C1512,2025-02-05,P201,Clothing,1,265.54,265.54,Lauraville,Colorado
10082,C2606,2024-08-12,P201,Clothing,5,37.44,187.2,Brittanyview,New Mexico
10083,C1316,2024-09-18,P202,Clothing,5,306.49,1532.45,East Elizabethland,Alaska
10084,C2659,2025-01-17,P401,Sports,3,329.82,989.46,New Angela,Connecticut
10085,C3648,2024-12-24,P400,Sports,1,403.64,403.64,Michaelside,Vermont
10086,C1318,2025-05-30,P400,Sports,3,63.12,189.36,West Jessechester,Delaware
10087,C2155,2024-11-11,P302,Home & Kitchen,3,23.74,71.22,Port Derek,Maryland
10088,C3445,2024-10-07,P202,Clothing,1,42.01,42.01,West Janice,New Mexico
10089,C3614,2024-09-05,P101,Electronics,2,280.33,560.66,Murphymouth,Rhode Island
10090,C3335,2024-10-04,P100,Electronics,3,51.67,155.01,South Kimberly,Iowa
10091,C2981,2025-04-30,P500,Beauty,5,493.38,2466.9,Bryantborough,New Mexico
10092,C2264,2024-11-28,P100,Electronics,3,55.67,167.01,North Michael,California
10093,C3048,2024-10-17,P101,Electronics,3,479.78,1439.34,Jameston,Nevada
10094,C1530,2025-01-05,P201,Clothing,4,365.59,1462.36,Robinsonhaven,South Dakota
10095,C3062,2024-09-06,P101,Electronics,4,449.29,1797.16,Sullivanborough,Colorado
10096,C2565,2025-05-12,P102,Electronics,2,21.61,43.22,New Randallside,Massachusetts
10097,C1620,2024-11-30,P402,Sports,1,152.16,152.16,Williamsbury,Florida
10098,C1948,2024-11-27,P400,Sports,1,476.88,476.88,North Timothy,New Mexico
10099,C1659,2024-10-13,P202,Clothing,2,386.72,773.44,Lake Ruthport,Indiana
10100,C2398,2025-01-05,P502,Beauty,5,329.18,1645.9,New Jonathanton,Kentucky
10101,C3553,2024-12-19,P400,Sports,3,152.51,457.53,North Julie,Nebraska
10102,C3500,2024-12-15,P400,Sports,4,127.16,508.64,Port Amyview,Nebraska
10103,C3037,2024-07-25,P500,Beauty,2,287.78,575.56,Kristinmouth,Kansas
10104,C2267,2024-07-18,P100,Electronics,2,385.5,771.0,Vaughnville,Alaska
10105,C2284,2025-02-01,P500,Beauty,4,56.12,224.48,Wheelerton,Ohio
10106,C3361,2024-10-01,P201,Clothing,2,43.4,86.8,East Craigberg,Arizona
10107,C3910,2024-11-24,P301,Home & Kitchen,1,44.86,44.86,North Jacobchester,North Carolina
10108,C2810,2024-08-21,P401,Sports,4,489.46,1957.84,Mayotown,New Jersey
10109,C2488,2025-03-01,P200,Clothing,5,249.25,1246.25,Sethfurt,Washington
10110,C3787,2025-07-10,P301,Home & Kitchen,4,429.93,1719.72,East Pedromouth,Kansas
10111,C3558,2025-04-19,P201,Clothing,3,261.11,783.33,Port William,Alaska
10112,C3072,2025-05-12,P301,Home & Kitchen,1,344.28,344.28,Port Devinmouth,Minnesota
10113,C3637,2024-12-09,P401,Sports,1,314.1,314.1,New Melissafurt,New Jersey
10114,C3297,2024-10-24,P102,Electronics,2,352.88,705.76,Robinsontown,Utah
10115,C1648,2025-01-16,P100,Electronics,1,152.42,152.42,Alexisfort,Mississippi
10116,C2893,2024-10-24,P501,Beauty,1,119.3,119.3,Port Shannonmouth,Arizona
10117,C3191,2025-02-04,P101,Electronics,4,239.56,958.24,Valenciaberg,Indiana
10118,C1443,2025-06-16,P400,Sports,1,98.33,98.33,Elizabethview,New Jersey
10119,C1264,2025-05-04,P401,Sports,2,206.75,413.5,New Stacyfort,Virginia
10120,C3876,2025-06-08,P301,Home & Kitchen,5,248.28,1241.4,Fullerfurt,Massachusetts
10121,C3232,2024-09-10,P400,Sports,3,232.74,698.22,Jameston,New York
10122,C2311,2025-01-08,P201,Clothing,2,323.71,647.42,East Rebeccahaven,North Dakota
10123,C1255,2025-05-24,P500,Beauty,5,389.36,1946.8,South Jacob,North Carolina
10124,C1866,2024-12-16,P301,Home & Kitchen,4,114.58,458.32,Paulview,Delaware
10125,C3603,2025-01-01,P102,Electronics,4,142.23,568.92,Scotttown,Michigan
10126,C2659,2024-09-10,P200,Clothing,2,43.94,87.88,Port Nicholas,Missouri
10127,C3149,2025-04-12,P101,Electronics,4,436.93,1747.72,East Crystalchester,Vermont
10128,C1220,2025-01-28,P202,Clothing,3,100.2,300.6,Davidton,California
10129,C2216,2024-09-08,P101,Electronics,3,482.05,1446.15,Port Yolandastad,Virginia
10130,C2972,2024-09-05,P200,Clothing,3,471.55,1414.65,Travismouth,New York
10131,C2789,2024-11-29,P402,Sports,2,483.14,966.28,Lake Phillip,Kentucky
10132,C1040,2024-07-22,P302,Home & Kitchen,5,200.68,1003.4,Bauerstad,Connecticut
10133,C3735,2024-11-01,P502,Beauty,2,48.13,96.26,Walterhaven,Nebraska
10134,C2296,2025-05-27,P502,Beauty,2,168.63,337.26,Lowerytown,Tennessee
10135,C3045,2024-12-08,P100,Electronics,4,467.57,1870.28,South Melissamouth,Maryland
10136,C3958,2025-01-13,P300,Home & Kitchen,4,138.77,555.08,Andrewburgh,Virginia
10137,C3617,2024-09-09,P101,Electronics,2,320.8,641.6,North Jonathan,Maryland
10138,C1768,2024-11-30,P500,Beauty,1,117.13,117.13,New Jeffreystad,Massachusetts
10139,C3461,2024-08-19,P402,Sports,5,389.45,1947.25,New Tina,South Carolina
10140,C1782,2025-02-03,P400,Sports,3,112.78,338.34,Port Christina,Pennsylvania
10141,C1066,2024-09-17,P500,Beauty,3,408.75,1226.25,West Cheyenne,New Mexico
10142,C1510,2024-12-05,P301,Home & Kitchen,5,411.34,2056.7,New Andrewmouth,Montana
10143,C2440,2024-09-22,P402,Sports,4,212.89,851.56,Port Christina,Arkansas
10144,C2375,2025-06-30,P302,Home & Kitchen,4,266.35,1065.4,East Robertshire,Iowa
10145,C1724,2025-02-11,P100,Electronics,4,219.91,879.64,Mitchellland,Alabama
10146,C2562,2024-09-22,P502,Beauty,2,275.95,551.9,Danielleside,Missouri
10147,C3875,2025-03-21,P302,Home & Kitchen,4,320.71,1282.84,Travisberg,Wisconsin
10148,C1425,2025-07-08,P500,Beauty,1,404.91,404.91,Port Luisfort,Virginia
10149,C2684,2025-06-01,P102,Electronics,1,311.97,311.97,East Stacy,Nevada
10150,C1408,2025-03-22,P101,Electronics,5,464.34,2321.7,Ericport,Wyoming
10151,C3734,2025-01-15,P402,Sports,5,404.88,2024.4,West Michael,California
10152,C2862,2024-09-22,P301,Home & Kitchen,2,119.21,238.42,Jeffreyport,Nevada
10153,C2923,2025-07-07,P501,Beauty,1,105.82,105.82,New Nicole,Pennsylvania
10154,C3641,2025-04-22,P101,Electronics,4,212.34,849.36,Tinaland,Maine
10155,C3078,2024-12-21,P400,Sports,3,393.28,1179.84,East Anthonytown,Arkansas
10156,C2698,2024-12-27,P301,Home & Kitchen,3,160.62,481.86,New Jenniferchester,Connecticut
10157,C1107,2025-03-16,P200,Clothing,4,26.01,104.04,West Joyport,Iowa
10158,C3457,2025-06-18,P201,Clothing,5,411.82,2059.1,Francostad,Colorado
10159,C2761,2025-06-09,P301,Home & Kitchen,2,479.99,959.98,North Brian,New Jersey
10160,C3639,2025-05-05,P202,Clothing,4,104.4,417.6,Joannaton,Kansas
10161,C3606,2024-07-19,P400,Sports,5,220.26,1101.3,Gabrielleshire,Colorado
10162,C2303,2025-05-03,P402,Sports,2,207.53,415.06,Taylormouth,Pennsylvania
10163,C3908,2024-12-09,P500,Beauty,4,123.18,492.72,Brownburgh,South Dakota
10164,C2605,2024-12-15,P202,Clothing,1,319.41,319.41,North Arthurton,Connecticut
10165,C1834,2025-06-14,P302,Home & Kitchen,2,474.86,949.72,West Keithhaven,Louisiana
10166,C3575,2024-12-15,P100,Electronics,1,224.34,224.34,Nicoleside,Idaho
10167,C3226,2024-07-14,P500,Beauty,1,312.87,312.87,Sandersbury,Colorado
10168,C1534,2025-05-10,P102,Electronics,4,22.39,89.56,Danielleborough,New York
10169,C3672,2024-11-20,P402,Sports,3,101.41,304.23,South Summerton,West Virginia
10170,C2004,2024-09-16,P201,Clothing,2,272.35,544.7,Chadborough,Tennessee
10171,C1588,2025-03-23,P401,Sports,1,144.73,144.73,Abigailburgh,Montana
10172,C1454,2025-03-02,P102,Electronics,5,434.8,2174.0,Angelaside,Kentucky
10173,C2156,2025-02-17,P402,Sports,1,62.47,62.47,Andrewmouth,Texas
10174,C2480,2025-04-24,P300,Home & Kitchen,1,47.92,47.92,West Alecton,Vermont
10175,C1089,2024-08-17,P201,Clothing,1,250.61,250.61,Gordonshire,North Dakota
10176,C1312,2024-08-03,P400,Sports,4,480.02,1920.08,New John,Georgia
10177,C2284,2025-06-24,P202,Clothing,4,193.87,775.48,Lauraport,California
10178,C1731,2025-04-25,P400,Sports,2,156.39,312.78,Aliciaburgh,Montana
10179,C1480,2025-06-01,P502,Beauty,5,428.86,2144.3,Lauriehaven,Ohio
10180,C3457,2025-06-14,P301,Home & Kitchen,4,497.51,1990.04,South Tina,New Mexico
10181,C2042,2024-09-15,P500,Beauty,2,265.66,531.32,Davidville,New Jersey
10182,C1094,2025-02-13,P100,Electronics,5,24.48,122.4,South Jamieside,Michigan
10183,C2494,2025-04-25,P502,Beauty,2,115.99,231.98,Wardberg,Virginia
10184,C1900,2024-12-29,P100,Electronics,1,170.49,170.49,North Richard,Florida
10185,C2972,2024-09-14,P102,Electronics,2,141.12,282.24,East Andrew,West Virginia
10186,C3670,2025-01-27,P200,Clothing,3,356.96,1070.88,Allenfurt,Connecticut
10187,C2638,2025-01-17,P301,Home & Kitchen,4,223.67,894.68,Amyfurt,Alaska
10188,C3938,2025-05-08,P201,Clothing,2,106.96,213.92,Alanburgh,Ohio
10189,C3406,2025-07-08,P301,Home & Kitchen,1,295.99,295.99,South Francisco,Washington
10190,C2998,2025-07-04,P300,Home & Kitchen,2,477.34,954.68,Stevenmouth,Montana
10191,C2112,2024-10-24,P401,Sports,4,302.2,1208.8,Ramseyburgh,Oregon
10192,C2758,2025-02-16,P302,Home & Kitchen,1,307.57,307.57,Davidport,Alabama
10193,C3591,2025-02-12,P202,Clothing,3,193.24,579.72,Timothybury,Pennsylvania
10194,C3094,2024-10-30,P101,Electronics,2,445.83,891.66,South James,Mississippi
10195,C3642,2024-07-19,P302,Home & Kitchen,4,153.8,615.2,Moorefort,Colorado
10196,C1736,2024-12-15,P501,Beauty,4,24.67,98.68,Thomastown,Nebraska
10197,C1297,2024-09-26,P301,Home & Kitchen,2,185.29,370.58,Cooperville,Kansas
10198,C2287,2024-07-20,P202,Clothing,3,192.26,576.78,North Rachel,New Mexico
10199,C3936,2024-09-12,P100,Electronics,3,347.26,1041.78,Port Suzanne,Alabama
10200,C2317,2025-02-23,P300,Home & Kitchen,4,288.06,1152.24,North Austin,Missouri
10201,C3464,2025-07-08,P202,Clothing,1,198.94,198.94,Turnerport,Connecticut
10202,C2138,2025-04-08,P202,Clothing,2,60.43,120.86,New Allen,Indiana
10203,C3647,2025-02-23,P502,Beauty,1,291.23,291.23,New Matthewhaven,Illinois
10204,C2311,2024-07-23,P402,Sports,4,165.71,662.84,Cisnerosview,Massachusetts
10205,C3042,2025-03-18,P200,Clothing,1,403.34,403.34,South Mariefurt,Montana
10206,C2854,2025-02-09,P101,Electronics,4,68.44,273.76,New Michaelmouth,Rhode Island
10207,C1968,2025-01-11,P202,Clothing,3,299.67,899.01,Thompsonmouth,New Mexico
10208,C3358,2024-10-20,P500,Beauty,3,18.74,56.22,Bryanberg,Alaska
10209,C2649,2025-05-27,P101,Electronics,3,74.22,222.66,Lake Darrell,Missouri
10210,C3641,2025-04-15,P102,Electronics,5,29.17,145.85,Ortizbury,Kentucky
10211,C2700,2025-03-05,P100,Electronics,4,56.61,226.44,Amyburgh,Georgia
10212,C2639,2024-08-21,P301,Home & Kitchen,3,379.31,1137.93,South Lukeport,Florida
10213,C1192,2025-02-16,P102,Electronics,3,251.97,755.91,Lake Juliestad,Alaska
10214,C3625,2025-06-17,P401,Sports,4,251.73,1006.92,Boydland,Rhode Island
10215,C1917,2025-05-07,P101,Electronics,5,60.34,301.7,Ayalatown,Montana
10216,C2322,2025-03-05,P100,Electronics,2,61.52,123.04,Acevedoview,Hawaii
10217,C3965,2024-09-26,P400,Sports,2,53.13,106.26,Coreyside,Connecticut
10218,C1215,2025-02-02,P302,Home & Kitchen,1,467.71,467.71,Smithborough,Louisiana
10219,C2246,2025-06-21,P300,Home & Kitchen,1,33.52,33.52,East John,Pennsylvania
10220,C2554,2024-07-22,P101,Electronics,3,347.08,1041.24,Gordonton,Louisiana
10221,C3389,2025-01-14,P302,Home & Kitchen,2,463.18,926.36,West Maurice,South Dakota
10222,C1606,2025-07-01,P400,Sports,2,166.47,332.94,Gregorytown,Ohio
10223,C3137,2024-07-12,P501,Beauty,4,337.44,1349.76,Chrisbury,Missouri
10224,C3007,2024-08-24,P500,Beauty,5,244.18,1220.9,West Michael,Idaho
10225,C2080,2025-01-11,P301,Home & Kitchen,4,120.66,482.64,Sweeneyport,Illinois
10226,C1992,2025-03-23,P302,Home & Kitchen,1,182.97,182.97,Port Robert,Maine
10227,C3025,2024-09-14,P202,Clothing,1,46.82,46.82,Lindseybury,Virginia
10228,C2917,2024-08-14,P100,Electronics,1,338.54,338.54,Harriston,Maine
10229,C1854,2025-03-26,P400,Sports,4,61.22,244.88,North Alexander,Rhode Island
10230,C2277,2024-11-26,P502,Beauty,5,430.64,2153.2,Ericborough,Illinois
10231,C1432,2024-12-24,P402,Sports,2,425.43,850.86,Dawsonmouth,Virginia
10232,C2853,2025-05-28,P200,Clothing,3,198.93,596.79,Port Tina,South Dakota
10233,C1769,2025-02-08,P502,Beauty,2,392.21,784.42,East Michael,Wyoming
10234,C2258,2025-04-01,P101,Electronics,4,90.46,361.84,Owensmouth,Washington
10235,C1438,2025-06-23,P502,Beauty,1,82.17,82.17,Cruzshire,Idaho
10236,C1766,2025-06-19,P100,Electronics,1,448.11,448.11,Millerfort,Delaware
10237,C2854,2025-03-11,P300,Home & Kitchen,4,334.32,1337.28,North Kimberlystad,Maryland
10238,C1344,2025-02-09,P301,Home & Kitchen,1,464.19,464.19,Willisbury,Minnesota
10239,C3056,2024-11-17,P301,Home & Kitchen,2,83.8,167.6,South Katherine,Arizona
10240,C2116,2025-03-10,P402,Sports,3,36.05,108.15,Williamsshire,Tennessee
10241,C3998,2024-11-12,P300,Home & Kitchen,1,327.82,327.82,East Seth,Oklahoma
10242,C1723,2024-09-30,P400,Sports,3,102.83,308.49,New Stephanie,New York
10243,C3124,2025-03-03,P501,Beauty,5,307.65,1538.25,East Kimberly,Wyoming
10244,C1454,2024-12-15,P400,Sports,1,326.71,326.71,Calhounmouth,Oklahoma
10245,C3356,2024-09-18,P200,Clothing,1,448.58,448.58,Lake Megan,Kansas
10246,C2128,2025-05-12,P300,Home & Kitchen,1,270.74,270.74,Juanfort,Oklahoma
10247,C1414,2024-09-24,P202,Clothing,4,202.03,808.12,Masonchester,Pennsylvania
10248,C1700,2024-12-25,P202,Clothing,3,252.63,757.89,Diazfort,Alabama
10249,C2179,2025-01-06,P201,Clothing,3,355.87,1067.61,West Lukeport,Connecticut
10250,C3869,2025-04-02,P100,Electronics,2,256.59,513.18,Davidshire,Colorado
10251,C3817,2024-12-23,P501,Beauty,3,427.76,1283.28,Thomasland,Alaska
10252,C1682,2024-10-24,P200,Clothing,3,343.91,1031.73,North Amy,Indiana
10253,C1052,2024-11-02,P201,Clothing,4,79.5,318.0,Lake Anthonyport,Kansas
10254,C2080,2025-03-11,P401,Sports,3,20.21,60.63,Lake Gregory,New Mexico
10255,C2940,2024-12-09,P100,Electronics,1,301.06,301.06,South Ashleyberg,Delaware
10256,C2935,2025-05-12,P500,Beauty,4,437.88,1751.52,South Brittanyberg,Louisiana
10257,C2190,2024-12-12,P100,Electronics,1,287.96,287.96,South Lori,Tennessee
10258,C1600,2025-05-28,P202,Clothing,5,91.98,459.9,Port Lori,Colorado
10259,C2374,2025-02-03,P100,Electronics,3,403.91,1211.73,Port Angela,Vermont
10260,C2054,2025-04-08,P401,Sports,3,495.0,1485.0,New Joshua,North Dakota
10261,C2444,2025-04-13,P401,Sports,3,234.79,704.37,Jonathanside,Louisiana
10262,C3719,2025-05-06,P302,Home & Kitchen,3,446.77,1340.31,West Cassandrastad,Massachusetts
10263,C3127,2025-05-19,P501,Beauty,1,142.27,142.27,Deanchester,Wyoming
10264,C3700,2024-09-19,P100,Electronics,4,429.57,1718.28,South Charleshaven,South Dakota
10265,C3365,2025-04-28,P201,Clothing,4,25.14,100.56,Patrickhaven,New Mexico
10266,C1793,2025-06-19,P401,Sports,2,374.74,749.48,Kellybury,New York
10267,C3567,2024-11-23,P402,Sports,1,483.07,483.07,Danielletown,North Dakota
10268,C3781,2025-03-28,P501,Beauty,5,95.73,478.65,Port Manuel,Nevada
10269,C2131,2024-09-14,P301,Home & Kitchen,4,298.68,1194.72,East Cassandraborough,Tennessee
10270,C3874,2025-06-10,P300,Home & Kitchen,1,293.96,293.96,New Shawnton,Wisconsin
10271,C2863,2025-02-24,P302,Home & Kitchen,1,222.4,222.4,Rojasside,Oklahoma
10272,C1034,2024-08-27,P501,Beauty,3,63.99,191.97,Melaniechester,Idaho
10273,C1615,2024-10-18,P402,Sports,2,238.5,477.0,Kevinshire,West Virginia
10274,C1666,2024-08-26,P501,Beauty,5,283.49,1417.45,Wagnershire,Idaho
10275,C2207,2024-11-28,P301,Home & Kitchen,3,41.66,124.98,Lake Tashachester,Rhode Island
10276,C3429,2025-02-15,P101,Electronics,1,116.49,116.49,Lake Angelica,Pennsylvania
10277,C2762,2025-07-02,P100,Electronics,4,159.85,639.4,Heidimouth,Vermont
10278,C1564,2025-05-05,P302,Home & Kitchen,1,34.45,34.45,Lake Madisonfort,Texas
10279,C3296,2024-09-06,P301,Home & Kitchen,5,336.01,1680.05,Lake Sonya,South Carolina
10280,C1805,2025-04-02,P200,Clothing,3,79.9,239.7,New Roberttown,Kansas
10281,C1131,2024-11-03,P402,Sports,1,152.49,152.49,North Michael,Arizona
10282,C3609,2025-03-28,P401,Sports,2,407.74,815.48,Terrellland,Wyoming
10283,C1401,2024-11-07,P401,Sports,4,483.78,1935.12,Georgeside,Massachusetts
10284,C3309,2025-03-29,P301,Home & Kitchen,5,162.26,811.3,Weaverberg,North Dakota
10285,C1570,2025-06-16,P402,Sports,3,404.15,1212.45,Jasonbury,New Hampshire
10286,C1817,2024-09-20,P201,Clothing,2,213.99,427.98,Port Kimshire,Massachusetts
10287,C3573,2024-12-31,P301,Home & Kitchen,1,155.69,155.69,Williamsfort,Utah
10288,C2789,2025-06-25,P402,Sports,2,194.22,388.44,Port Donna,Kansas
10289,C2283,2025-01-11,P100,Electronics,5,226.53,1132.65,Gomezhaven,Pennsylvania
10290,C2751,2025-05-22,P502,Beauty,3,239.51,718.53,Simsborough,Oregon
10291,C3289,2024-11-17,P401,Sports,4,236.03,944.12,New Andrewberg,Connecticut
10292,C3519,2024-12-19,P101,Electronics,1,380.37,380.37,New Scottview,Alabama
10293,C1521,2024-08-31,P300,Home & Kitchen,5,260.98,1304.9,South Kimberlyhaven,Vermont
10294,C1219,2024-12-17,P502,Beauty,5,440.12,2200.6,South Jason,Kansas
10295,C2895,2025-01-15,P400,Sports,4,338.34,1353.36,East Ryan,Oregon
10296,C2106,2025-02-20,P501,Beauty,1,51.48,51.48,Bishophaven,Hawaii
10297,C2190,2024-10-02,P101,Electronics,5,57.73,288.65,North Kyle,West Virginia
10298,C1497,2025-07-05,P501,Beauty,3,433.51,1300.53,Richardland,Pennsylvania
10299,C1217,2025-03-09,P502,Beauty,5,372.29,1861.45,Chrishaven,Illinois
10300,C3028,2025-01-17,P202,Clothing,2,285.4,570.8,North Troy,Nebraska
10301,C2273,2024-12-10,P200,Clothing,2,157.44,314.88,South Leonfort,Alaska
10302,C1469,2024-07-20,P101,Electronics,5,347.01,1735.05,Lake Heather,Rhode Island
10303,C1495,2024-12-08,P100,Electronics,2,305.86,611.72,Brownville,Pennsylvania
10304,C2940,2024-07-27,P500,Beauty,2,110.1,220.2,Port Laurietown,Wyoming
10305,C1498,2025-03-30,P102,Electronics,4,201.45,805.8,Muellerport,South Dakota
10306,C1962,2024-09-25,P301,Home & Kitchen,4,491.52,1966.08,Richardbury,Connecticut
