loyalty_id,customer_id,loyalty_signup_date,loyalty_tier,total_points
L5197,C3444,2024/02/01,Gold,6952
L5198,C1000,2024/12/09,Gold,4229
L5199,C2840,2024/04/25,Platinum,5534
L5200,C1894,2023/09/22,Silver,5670
L5201,C3791,2025/03/03,Gold,7545
L5202,C1838,2024/05/28,Platinum,2151
L5203,C2179,2024/10/29,Silver,7384
L5204,C3417,2024/01/12,Platinum,3136
L5205,C2540,2024/09/16,Gold,3051
L5206,C3074,2023/08/03,Platinum,9490
L5207,C3068,2023/11/07,Platinum,5939
L5208,C3623,2023/08/28,Gold,658
L5209,C2473,2025/06/04,Platinum,2649
L5210,C3787,2024/10/06,Silver,6485
L5211,C3942,2025/02/16,Silver,4040
L5212,C2995,2023/12/15,Silver,6340
L5213,C3653,2023/07/30,Gold,1895
L5214,C1118,2025/02/05,Gold,2217
L5215,C3292,2024/09/08,Gold,5156
L5216,C2991,2023/10/28,Platinum,9093
L5217,C2964,2025/02/28,Silver,2451
L5218,C1490,2024/11/26,Platinum,6570
L5219,C1608,2025/03/07,Platinum,2915
L5220,C1870,2025/03/23,Silver,8768
L5221,C3183,2025/07/10,Platinum,550
L5222,C3904,2024/07/01,Silver,6003
L5223,C2508,2024/07/22,Platinum,9084
L5224,C3286,2023/12/09,Gold,1428
L5225,C2080,2023/10/03,Silver,2016
L5226,C3514,2024/11/08,Silver,3813
L5227,C2745,2024/10/17,Gold,6337
L5228,C2629,2025/06/24,Gold,951
L5229,C2159,2023/12/14,Platinum,6035
L5230,C3266,2023/09/07,Platinum,4100
L5231,C2369,2024/11/19,Silver,2487
L5232,C3234,2023/07/24,Gold,3702
L5233,C2496,2024/02/11,Gold,8356
L5234,C3871,2025/07/09,Platinum,4296
L5235,C2861,2025/04/16,Platinum,1844
L5236,C2525,2024/05/02,Platinum,4561
L5237,C1456,2023/09/30,Gold,9958
L5238,C3033,2025/03/20,Silver,5776
L5239,C2047,2023/10/09,Silver,3603
L5240,C2250,2023/08/05,Gold,3737
L5241,C1159,2023/09/23,Gold,5855
L5242,C3649,2024/02/20,Silver,3918
L5243,C3852,2025/04/30,Gold,7143
L5244,C2722,2025/06/17,Platinum,6036
L5245,C2871,2024/02/29,Silver,6977
L5246,C3799,2024/11/20,Silver,5803
L5247,C2690,2024/11/20,Silver,6508
L5248,C2470,2025/07/10,Platinum,5450
L5249,C3340,2025/05/02,Gold,2417
L5250,C3704,2025/02/05,Gold,6434
L5251,C3699,2023/08/17,Silver,8341
L5252,C1369,2025/02/06,Silver,9211
L5253,C2319,2025/07/01,Gold,9077
L5254,C3062,2024/07/20,Silver,156
L5255,C2250,2025/01/19,Gold,9636
L5256,C3056,2024/09/19,Platinum,8376
L5257,C3392,2023/09/10,Silver,4504
L5258,C1328,2025/04/18,Platinum,9804
L5259,C2617,2023/10/14,Silver,7323
L5260,C3737,2024/08/01,Gold,4722
L5261,C2094,2024/05/20,Silver,2127
L5262,C3481,2024/02/21,Silver,7703
L5263,C2668,2025/02/22,Gold,9180
L5264,C1543,2023/08/07,Gold,4689
L5265,C3179,2024/04/20,Platinum,8344
L5266,C2989,2024/11/04,Gold,4408
L5267,C3324,2024/12/25,Platinum,5591
L5268,C2048,2024/03/17,Platinum,8804
L5269,C2442,2023/11/18,Silver,6530
L5270,C2901,2025/03/09,Platinum,8411
L5271,C1276,2023/12/28,Gold,4805
L5272,C2781,2025/06/30,Gold,9566
L5273,C2207,2024/03/09,Platinum,5765
L5274,C3417,2024/10/30,Platinum,2470
L5275,C2074,2024/04/08,Platinum,5656
L5276,C3438,2025/02/26,Platinum,1996
L5277,C1173,2024/07/02,Gold,1360
L5278,C2408,2024/11/25,Platinum,3733
L5279,C2151,2024/01/21,Silver,3802
L5280,C2652,2025/01/16,Gold,7780
L5281,C1424,2025/02/01,Platinum,2868
L5282,C3257,2023/07/13,Platinum,8684
L5283,C1322,2024/08/02,Silver,7192
L5284,C3345,2024/11/09,Silver,315
L5285,C3139,2025/02/20,Gold,8378
L5286,C1553,2023/08/16,Gold,1764
L5287,C3035,2024/10/14,Platinum,4621
L5288,C2537,2024/04/04,Platinum,6122
L5289,C1757,2023/10/29,Silver,5757
L5290,C2570,2024/03/12,Gold,2712
L5291,C3497,2023/12/10,Gold,2827
L5292,C3769,2025/05/29,Silver,52
L5293,C3831,2024/09/23,Gold,3600
L5294,C1027,2023/12/31,Gold,1403
L5295,C1959,2024/11/02,Silver,8099
L5296,C1044,2025/04/26,Platinum,8031
L5297,C1753,2024/02/27,Gold,4944
L5298,C2640,2023/10/29,Gold,2545
L5299,C1676,2024/02/17,Silver,666
L5300,C3219,2024/12/09,Platinum,6366
L5301,C1472,2024/03/09,Gold,8485
L5302,C3333,2024/07/19,Silver,5425
L5303,C1192,2024/04/30,Gold,1495
L5304,C1773,2024/07/06,Silver,3285
L5305,C3435,2024/05/08,Gold,9829
L5306,C3803,2024/02/19,Gold,5207
L5307,C1524,2024/10/21,Silver,5918
L5308,C2859,2023/12/12,Platinum,6291
L5309,C2505,2023/12/15,Platinum,3422
L5310,C1332,2024/01/12,Gold,9868
L5311,C1355,2025/07/04,Platinum,7551
L5312,C1219,2025/05/14,Gold,7771
L5313,C2467,2023/09/29,Platinum,7667
L5314,C3980,2023/11/04,Gold,616
L5315,C3531,2024/11/02,Silver,6357
L5316,C3909,2023/12/16,Silver,2971
L5317,C2244,2024/01/19,Silver,536
L5318,C1305,2024/10/22,Silver,9713
L5319,C2792,2025/05/27,Platinum,514
L5320,C1551,2024/01/22,Gold,6390
L5321,C1582,2024/08/17,Silver,6217
L5322,C2252,2025/05/21,Silver,6705
L5323,C1847,2025/03/06,Platinum,6737
L5324,C1844,2024/08/28,Gold,164
L5325,C2527,2023/10/19,Gold,4899
L5326,C2941,2024/01/12,Silver,7213
L5327,C2692,2025/05/04,Gold,816
L5328,C2015,2025/01/17,Silver,644
L5329,C1178,2024/09/15,Platinum,5391
L5330,C1488,2024/08/07,Silver,1375
L5331,C3729,2024/03/06,Silver,8030
L5332,C3945,2024/10/01,Gold,7135
L5333,C1436,2024/01/30,Silver,8346
L5334,C2662,2024/06/11,Gold,2348
L5335,C3384,2023/09/25,Silver,9146
L5336,C3677,2025/05/05,Platinum,3280
L5337,C3784,2024/05/20,Platinum,5864
L5338,C3265,2023/07/16,Gold,5611
L5339,C2476,2023/08/17,Platinum,1085
L5340,C1535,2023/07/26,Platinum,4353
L5341,C3195,2024/12/20,Platinum,5365
L5342,C3933,2024/09/18,Gold,541
L5343,C2335,2025/06/09,Gold,4077
L5344,C2527,2024/03/06,Platinum,3681
L5345,C1019,2024/03/06,Platinum,6745
L5346,C2809,2025/03/04,Platinum,7226
L5347,C1909,2024/06/20,Platinum,4819
L5348,C1298,2024/03/18,Silver,387
L5349,C3592,2023/12/05,Gold,3280
L5350,C3712,2024/07/06,Gold,2405
L5351,C3428,2024/12/06,Gold,6199
L5352,C2180,2025/02/20,Silver,1525
L5353,C3002,2025/04/03,Silver,3776
L5354,C3326,2024/01/18,Silver,8915
L5355,C2600,2023/08/15,Silver,914
L5356,C3061,2025/06/25,Platinum,5921
L5357,C3060,2024/04/19,Silver,5739
L5358,C3365,2023/12/20,Silver,8546
L5359,C1581,2025/05/01,Platinum,1927
L5360,C1670,2023/12/23,Silver,8531
L5361,C1264,2025/04/30,Gold,1909
L5362,C3774,2023/10/29,Platinum,2702
L5363,C3715,2024/05/19,Silver,3366
L5364,C1675,2023/07/22,Platinum,4222
L5365,C3691,2024/02/20,Silver,9434
L5366,C2138,2024/05/08,Gold,33
L5367,C3871,2025/01/09,Silver,7837
L5368,C3268,2025/06/09,Platinum,5420
L5369,C1445,2024/07/05,Platinum,1733
L5370,C2342,2024/01/04,Platinum,7451
L5371,C3962,2025/05/04,Gold,5916
L5372,C1140,2024/09/18,Gold,1413
L5373,C1444,2024/05/18,Platinum,230
L5374,C2338,2025/05/24,Silver,8148
L5375,C3131,2023/11/05,Silver,1919
L5376,C1702,2023/08/24,Gold,9858
L5377,C1691,2024/04/21,Silver,3245
L5378,C3361,2023/11/15,Gold,6710
L5379,C3239,2025/01/01,Gold,2137
L5380,C3382,2024/06/23,Silver,6712
L5381,C2012,2024/11/17,Silver,7864
L5382,C3100,2024/01/15,Gold,8946
L5383,C1233,2024/06/12,Platinum,8304
L5384,C3874,2024/03/20,Platinum,9172
L5385,C1522,2025/06/13,Platinum,3488
L5386,C3508,2025/05/27,Silver,796
L5387,C2448,2023/10/14,Silver,2567
L5388,C1962,2024/10/20,Platinum,9376
L5389,C1652,2025/04/10,Gold,1194
L5390,C1657,2023/09/22,Platinum,6096
L5391,C2716,2025/05/02,Silver,7532
L5392,C2037,2023/10/28,Gold,6646
L5393,C1577,2023/12/26,Gold,6853
L5394,C1275,2025/03/16,Platinum,4910
L5395,C3961,2024/02/29,Silver,8169
L5396,C3860,2024/05/26,Silver,8825
L5397,C3984,2025/04/18,Gold,3178
L5398,C2885,2023/09/30,Silver,1579
L5399,C2564,2024/09/25,Silver,8024
L5400,C2048,2024/01/03,Silver,3994
L5401,C2492,2023/12/28,Platinum,2539
L5402,C2833,2025/05/12,Silver,293
L5403,C3160,2024/05/05,Gold,8332
L5404,C1033,2025/01/04,Silver,3000
L5405,C2159,2024/07/03,Silver,9532
L5406,C2981,2023/11/03,Silver,6864
L5407,C1760,2023/08/06,Platinum,3922
L5408,C2122,2024/04/30,Gold,5542
L5409,C2275,2023/11/06,Platinum,331
L5410,C1021,2024/04/23,Silver,9986
L5411,C1377,2024/02/15,Gold,7083
L5412,C3035,2024/01/11,Silver,6685
L5413,C1061,2024/09/07,Platinum,9108
L5414,C2724,2024/09/25,Silver,1265
L5415,C2596,2023/10/11,Silver,7846
L5416,C1547,2024/06/13,Silver,3413
L5417,C3102,2024/07/06,Platinum,7313
L5418,C1150,2024/12/22,Platinum,5537
L5419,C1586,2025/03/16,Platinum,665
L5420,C3564,2025/02/07,Platinum,9996
L5421,C3892,2025/06/03,Platinum,1742
L5422,C1472,2024/05/07,Platinum,5049
L5423,C3537,2023/09/02,Silver,746
L5424,C1376,2024/10/21,Platinum,9006
L5425,C2839,2024/09/22,Silver,976
L5426,C3474,2025/01/26,Silver,2976
L5427,C3592,2024/01/21,Gold,7191
L5428,C2631,2024/07/22,Silver,8925
L5429,C1476,2025/05/06,Platinum,2711
L5430,C3144,2024/04/27,Platinum,3128
L5431,C3720,2024/07/07,Silver,248
L5432,C3846,2025/06/11,Silver,1611
L5433,C3347,2024/12/10,Silver,9780
L5434,C3285,2024/08/04,Platinum,1211
L5435,C1056,2023/10/16,Platinum,3964
L5436,C2313,2024/04/25,Gold,5110
L5437,C1470,2024/03/16,Silver,3509
L5438,C1256,2024/01/19,Gold,8141
L5439,C2829,2025/07/04,Silver,7981
L5440,C1926,2025/05/15,Silver,48
L5441,C1307,2024/01/07,Platinum,2998
L5442,C3259,2025/02/07,Gold,2274
L5443,C3512,2024/05/29,Silver,4054
L5444,C1451,2024/06/14,Platinum,663
L5445,C1899,2024/09/24,Silver,6280
L5446,C1794,2023/12/15,Silver,9823
L5447,C3225,2023/09/20,Gold,894
L5448,C3053,2023/09/13,Gold,3365
L5449,C1166,2024/09/24,Platinum,9756
L5450,C3568,2023/12/19,Silver,6581
L5451,C2155,2023/08/07,Platinum,5164
L5452,C3303,2023/08/23,Platinum,5577
L5453,C2754,2024/08/17,Platinum,3180
L5454,C2125,2024/07/08,Gold,611
L5455,C2796,2024/09/18,Platinum,8816
L5456,C2333,2023/11/11,Platinum,6869
L5457,C3739,2024/05/07,Silver,8745
L5458,C3459,2023/07/18,Silver,1959
L5459,C3314,2023/11/11,Silver,9585
L5460,C1823,2025/04/24,Silver,9502
L5461,C3846,2024/10/27,Platinum,2175
L5462,C2751,2025/02/27,Platinum,3453
L5463,C1167,2024/05/27,Silver,5553
L5464,C3454,2023/12/07,Platinum,4254
L5465,C3799,2023/09/10,Silver,1775
L5466,C1634,2023/09/08,Silver,7118
L5467,C1398,2024/11/07,Gold,6457
L5468,C1153,2023/08/06,Silver,3608
L5469,C2022,2025/04/23,Platinum,7388
L5470,C3762,2024/06/08,Platinum,233
L5471,C3863,2024/08/07,Gold,8642
L5472,C3051,2024/01/31,Gold,1508
L5473,C2385,2024/01/28,Gold,5440
L5474,C1816,2023/09/25,Platinum,1652
L5475,C1562,2025/03/04,Silver,4845
L5476,C1313,2024/10/17,Gold,7962
L5477,C2955,2024/07/24,Gold,109
L5478,C1459,2024/02/19,Gold,4397
L5479,C1505,2024/05/04,Gold,9246
L5480,C3838,2025/04/04,Platinum,3623
L5481,C1158,2024/10/02,Gold,8084
L5482,C3859,2025/03/21,Silver,2696
L5483,C1813,2025/03/03,Silver,1935
L5484,C1685,2023/09/06,Gold,5913
L5485,C3583,2023/12/02,Silver,9407
L5486,C3907,2025/07/04,Silver,4467
L5487,C2201,2025/03/18,Platinum,8178
L5488,C3627,2024/02/14,Platinum,3344
L5489,C2980,2024/07/14,Silver,2423
L5490,C2875,2025/02/20,Gold,698
L5491,C3627,2024/08/12,Silver,5323
L5492,C2488,2024/09/30,Platinum,589
L5493,C1218,2023/09/15,Platinum,5279
L5494,C1817,2024/12/13,Gold,6939
L5495,C3653,2024/10/15,Silver,3731
L5496,C1131,2024/04/01,Platinum,9133
L5497,C1425,2023/10/07,Gold,7185
L5498,C3003,2024/12/15,Platinum,2091
L5499,C3918,2023/12/15,Platinum,404
L5500,C3896,2023/10/29,Platinum,69
L5501,C3540,2025/03/14,Gold,4423
L5502,C3364,2024/06/22,Silver,7897
L5503,C1399,2024/05/12,Gold,7611
L5504,C1629,2023/12/29,Platinum,9928
L5505,C2714,2024/08/03,Platinum,1966
L5506,C1914,2024/06/10,Gold,794
L5507,C3309,2023/12/20,Gold,3427
L5508,C3507,2024/05/17,Silver,4401
L5509,C3475,2025/05/21,Silver,3490
L5510,C1021,2023/10/14,Gold,7738
L5511,C3459,2023/11/14,Gold,6819
L5512,C2855,2024/08/15,Silver,3279
L5513,C1263,2024/12/25,Gold,7889
L5514,C1307,2025/06/01,Platinum,9462
L5515,C3204,2023/08/17,Platinum,5023
L5516,C2615,2024/02/13,Gold,1880
L5517,C1947,2024/02/06,Silver,9414
L5518,C1552,2023/10/12,Gold,2448
L5519,C3141,2025/01/26,Platinum,1997
L5520,C3930,2025/03/24,Platinum,8503
L5521,C1803,2025/03/01,Platinum,7826
L5522,C3208,2023/11/09,Platinum,5507
L5523,C1767,2023/10/17,Gold,4591
L5524,C3515,2023/09/05,Silver,6022
L5525,C3736,2024/03/25,Gold,6046
L5526,C1740,2025/01/20,Platinum,5835
L5527,C1545,2024/07/14,Gold,1192
L5528,C2563,2023/08/29,Silver,6340
L5529,C2584,2024/03/16,Silver,8226
L5530,C2994,2024/09/05,Silver,3850
L5531,C3332,2024/05/18,Gold,1403
L5532,C2981,2024/08/20,Platinum,4412
L5533,C2305,2024/05/16,Platinum,1121
L5534,C3176,2023/08/18,Gold,8665
L5535,C1316,2023/11/09,Silver,2401
L5536,C3758,2024/10/11,Gold,7587
L5537,C3648,2023/11/06,Silver,3425
L5538,C2027,2025/03/23,Gold,2045
L5539,C2723,2025/03/16,Platinum,3403
L5540,C2816,2023/09/04,Platinum,9664
L5541,C1594,2025/05/18,Gold,5918
L5542,C2176,2024/06/19,Platinum,5952
L5543,C1650,2025/01/19,Gold,9566
L5544,C2988,2024/05/07,Silver,3314
L5545,C1710,2025/01/26,Silver,3312
L5546,C1278,2024/06/10,Silver,3816
L5547,C1457,2024/02/25,Silver,4023
L5548,C1863,2025/05/29,Gold,4051
L5549,C3961,2024/12/22,Platinum,3805
L5550,C2575,2024/03/07,Silver,9625
L5551,C1317,2023/08/26,Silver,5064
L5552,C3789,2024/08/28,Silver,1937
L5553,C2762,2025/04/11,Platinum,1918
L5554,C3942,2025/04/12,Gold,3561
L5555,C1780,2023/08/13,Platinum,8766
L5556,C3182,2025/04/14,Silver,2724
L5557,C2413,2024/02/18,Gold,876
L5558,C1412,2024/02/22,Silver,9039
L5559,C3720,2025/07/10,Gold,2524
L5560,C3232,2024/03/02,Gold,7992
L5561,C2596,2025/06/18,Platinum,3854
L5562,C3053,2024/10/09,Silver,5410
L5563,C1826,2025/05/08,Silver,7701
L5564,C2911,2024/01/05,Platinum,6970
L5565,C1003,2024/04/25,Silver,3737
L5566,C1688,2023/09/11,Gold,8785
L5567,C2115,2024/11/28,Silver,1743
L5568,C1323,2024/07/21,Platinum,4503
L5569,C3437,2025/01/24,Silver,6891
L5570,C1177,2024/05/31,Gold,6209
L5571,C2910,2023/08/06,Platinum,4018
L5572,C1714,2024/08/21,Silver,6725
L5573,C2933,2024/01/28,Silver,6071
L5574,C2015,2025/02/18,Gold,1773
L5575,C3833,2024/02/18,Silver,5503
L5576,C1468,2024/11/19,Platinum,6028
L5577,C1380,2025/03/23,Platinum,3255
L5578,C2069,2023/09/11,Platinum,1015
L5579,C2877,2024/11/21,Platinum,2372
L5580,C3171,2024/11/16,Silver,5765
L5581,C2363,2025/01/12,Platinum,1325
L5582,C2272,2025/05/17,Gold,9324
L5583,C1182,2023/12/27,Platinum,6664
L5584,C1383,2023/10/29,Gold,3903
L5585,C1791,2023/11/25,Platinum,6443
L5586,C1465,2023/09/14,Silver,3747
L5587,C1402,2023/09/22,Gold,2950
L5588,C2363,2024/01/09,Silver,3332
L5589,C3507,2024/06/13,Gold,1883
L5590,C3304,2024/12/12,Silver,2465
L5591,C3856,2025/04/25,Silver,3538
L5592,C1825,2024/05/06,Silver,4552
L5593,C3234,2024/04/24,Gold,7155
L5594,C1077,2024/08/15,Silver,6935
L5595,C1161,2025/03/23,Silver,25
L5596,C1039,2025/03/17,Platinum,6343
L5597,C1919,2024/10/10,Platinum,6834
L5598,C2064,2025/03/15,Platinum,9473
L5599,C1693,2024/05/07,Gold,2352
L5600,C2081,2024/08/21,Silver,8614
L5601,C3793,2023/10/18,Platinum,9019
L5602,C1418,2024/01/07,Platinum,6078
L5603,C3806,2023/09/03,Gold,863
L5604,C3475,2023/10/20,Silver,8901
L5605,C3465,2024/04/18,Gold,4279
L5606,C1735,2025/04/04,Silver,6485
L5607,C3330,2023/09/27,Silver,5927
L5608,C2572,2024/03/07,Gold,2097
L5609,C3465,2023/07/26,Silver,9481
L5610,C1828,2023/10/28,Silver,6092
L5611,C3856,2024/12/22,Gold,7912
L5612,C3801,2024/12/18,Gold,1736
L5613,C2057,2023/10/21,Platinum,7510
L5614,C1723,2025/06/17,Gold,8161
L5615,C3239,2024/04/20,Platinum,9322
L5616,C1228,2023/08/30,Gold,4209
L5617,C1691,2025/01/11,Silver,252
L5618,C3543,2024/03/17,Gold,6518
L5619,C3300,2024/11/25,Platinum,4123
L5620,C3098,2024/01/04,Silver,9579
L5621,C3873,2023/10/04,Silver,3173
L5622,C1879,2024/07/28,Silver,7576
L5623,C3855,2024/11/04,Silver,8459
L5624,C3980,2024/02/03,Silver,3127
L5625,C3803,2024/12/13,Gold,1729
