pos_transaction_id,customer_id,transaction_date,store_id,product_id,quantity,price_per_unit,total_amount,city,state
20048,C1215,29-01-2025,S113,P100,2,459.32,918.64,Maureenside,New Jersey
20049,C2772,13-08-2024,S101,P402,3,431.28,1293.84,Port Elizabethside,North Carolina
20050,C3094,20-07-2024,S111,P300,3,312.61,937.83,Port Holly,Louisiana
20051,C2985,20-07-2024,S117,P302,4,219.82,879.28,Bridgesbury,North Dakota
20052,C2018,15-07-2024,S118,P500,4,290.74,1162.96,Bennettfurt,Indiana
20053,C1924,25-05-2025,S114,P102,3,248.88,746.64,Vincentfurt,California
20054,C1781,04-12-2024,S110,P202,5,30.42,152.1,New Samanthaburgh,Utah
20055,C2587,28-08-2024,S100,P200,5,368.64,1843.2,South Jeremyberg,New York
20056,C2730,13-11-2024,S108,P500,1,77.66,77.66,West Diana,Virginia
20057,C3767,04-07-2025,S120,P400,3,101.77,305.31,West Adamborough,Arizona
20058,C3590,19-11-2024,S118,P200,1,59.35,59.35,Kathrynbury,Mississippi
20059,C3759,02-09-2024,S104,P100,4,327.54,1310.16,East Katherinemouth,Arkansas
20060,C3590,29-07-2024,S117,P201,4,104.15,416.6,East Joshua,Indiana
20061,C3200,27-01-2025,S107,P100,2,13.64,27.28,New Daniel,Virginia
20062,C2023,08-07-2025,S115,P101,3,489.34,1468.02,South Olivia,Arkansas
20063,C1888,23-10-2024,S106,P500,2,161.26,322.52,Lake Cameronfurt,Montana
20064,C1628,28-07-2024,S111,P202,4,139.49,557.96,Ericstad,Wisconsin
20065,C3262,03-10-2024,S112,P401,4,482.56,1930.24,East Shaunview,Arizona
20066,C2366,15-06-2025,S117,P402,1,376.48,376.48,North Michael,Idaho
20067,C3278,10-05-2025,S118,P100,1,360.61,360.61,Shannonside,Texas
20068,C2341,20-09-2024,S115,P302,2,276.79,553.58,Penningtontown,Virginia
20069,C2104,24-11-2024,S107,P300,1,428.09,428.09,South Williammouth,Pennsylvania
20070,C1436,30-08-2024,S117,P502,3,232.49,697.47,North Clarence,Georgia
20071,C3918,06-08-2024,S108,P101,4,314.29,1257.16,Jennifertown,Massachusetts
20072,C3172,04-10-2024,S116,P502,1,401.56,401.56,South Jonathanbury,Arizona
20073,C2110,10-10-2024,S113,P101,1,478.03,478.03,West Jeff,Oklahoma
20074,C2397,17-09-2024,S108,P400,5,332.33,1661.65,Thompsonfurt,Ohio
20075,C2665,15-04-2025,S111,P101,1,27.41,27.41,North Amanda,Nevada
20076,C3196,06-08-2024,S117,P400,4,201.54,806.16,West Edward,New Hampshire
20077,C1962,17-06-2025,S120,P301,3,336.85,1010.55,Clarkhaven,Minnesota
20078,C3032,19-02-2025,S113,P400,4,466.27,1865.08,Robinsonborough,Alaska
20079,C2442,18-08-2024,S119,P401,5,314.15,1570.75,South Roger,Michigan
20080,C2128,01-02-2025,S109,P500,2,334.73,669.46,Juliehaven,Maryland
20081,C2752,13-04-2025,S105,P200,5,60.12,300.6,Davidton,Ohio
20082,C3090,20-05-2025,S109,P201,4,486.52,1946.08,Mannchester,Indiana
20083,C2605,16-10-2024,S103,P502,1,267.98,267.98,Lake Steven,Louisiana
20084,C1957,23-01-2025,S112,P301,2,278.85,557.7,New Margaretborough,Pennsylvania
20085,C1244,09-01-2025,S111,P202,3,273.37,820.11,South Brookeborough,Wyoming
20086,C1336,04-05-2025,S120,P200,1,332.55,332.55,West Lisa,Louisiana
20087,C1465,22-04-2025,S103,P200,2,179.3,358.6,Port Tiffanyberg,Alabama
20088,C2185,19-06-2025,S115,P400,2,247.72,495.44,Bernardtown,Nevada
20089,C3366,12-09-2024,S106,P201,3,233.56,700.68,North Crystal,Iowa
20090,C3541,04-02-2025,S103,P400,2,121.06,242.12,Jenniferbury,North Carolina
20091,C2668,22-03-2025,S117,P401,1,308.97,308.97,West Michaelburgh,Wisconsin
20092,C2397,18-08-2024,S116,P200,3,265.9,797.7,Lake Tammy,Arkansas
20093,C3599,18-09-2024,S110,P302,2,68.86,137.72,Ronaldport,Arkansas
20094,C2259,08-03-2025,S114,P401,1,268.58,268.58,Stephanieburgh,North Carolina
20095,C2952,06-07-2025,S104,P300,4,105.7,422.8,Paulport,Maryland
20096,C2995,22-02-2025,S111,P502,4,61.13,244.52,West Regina,Missouri
20097,C3341,01-05-2025,S101,P401,4,247.7,990.8,South Nicholas,Massachusetts
20098,C2184,17-03-2025,S108,P400,5,450.12,2250.6,Lake Ashley,Arkansas
20099,C1153,12-07-2024,S119,P201,1,52.3,52.3,Cynthiafurt,Georgia
20100,C3396,30-05-2025,S104,P301,3,163.48,490.44,Edwardport,Arkansas
20101,C3104,21-04-2025,S113,P300,3,461.73,1385.19,Cruzside,Wyoming
20102,C1273,15-12-2024,S113,P201,5,133.04,665.2,New Timothyland,Oregon
20103,C3662,27-05-2025,S112,P102,4,33.5,134.0,Gonzalezport,Rhode Island
20104,C2332,22-06-2025,S106,P302,1,159.1,159.1,North Kathyton,Arkansas
20105,C1082,16-04-2025,S103,P201,3,423.14,1269.42,Andrewsfort,Kansas
20106,C2783,14-12-2024,S103,P301,5,56.86,284.3,North Deborah,North Carolina
20107,C2436,09-08-2024,S115,P402,3,496.93,1490.79,Morrisport,Florida
20108,C3120,08-06-2025,S108,P200,4,218.48,873.92,Palmertown,Nevada
20109,C2094,04-09-2024,S102,P102,5,53.43,267.15,Wilcoxbury,West Virginia
20110,C1023,11-09-2024,S115,P402,1,17.64,17.64,West Dawnland,Iowa
20111,C1418,03-08-2024,S109,P102,3,246.14,738.42,Woodsberg,New York
20112,C1404,30-04-2025,S108,P300,3,295.61,886.83,Lake Vincent,Oklahoma
20113,C1775,06-07-2025,S117,P502,3,170.18,510.54,Hardinshire,South Carolina
20114,C2912,31-10-2024,S105,P400,4,279.03,1116.12,Clintonstad,New Hampshire
20115,C3119,18-03-2025,S101,P501,4,365.97,1463.88,Berryside,Oklahoma
20116,C3124,01-07-2025,S102,P501,2,448.45,896.9,Lake Casey,California
20117,C2918,25-06-2025,S105,P402,3,269.44,808.32,New Brian,South Carolina
20118,C3474,10-12-2024,S101,P202,1,413.36,413.36,Justinbury,Oklahoma
20119,C2577,16-06-2025,S108,P400,3,364.5,1093.5,South John,New Jersey
20120,C3715,18-02-2025,S100,P301,1,125.69,125.69,Juliestad,Indiana
20121,C3921,10-07-2025,S103,P402,1,138.24,138.24,West Abigail,Illinois
20122,C3102,27-05-2025,S115,P502,1,260.7,260.7,Port Samuel,North Carolina
20123,C3019,15-02-2025,S120,P200,1,23.98,23.98,Walkerville,Oregon
20124,C2871,01-06-2025,S105,P400,2,405.81,811.62,Port Alejandratown,Vermont
20125,C2747,19-02-2025,S119,P200,4,118.77,475.08,Maryport,North Dakota
20126,C1598,17-11-2024,S120,P300,3,417.26,1251.78,Parsonsshire,Minnesota
20127,C2066,07-10-2024,S114,P400,3,296.72,890.16,West Amanda,Texas
20128,C1576,18-06-2025,S105,P201,2,170.41,340.82,Port Dana,Montana
20129,C1843,13-04-2025,S101,P402,3,137.49,412.47,Autumnberg,New Jersey
20130,C1777,03-06-2025,S109,P300,5,239.44,1197.2,West Leonardland,Massachusetts
20131,C2420,20-02-2025,S119,P300,2,341.75,683.5,New Joshuaburgh,Wyoming
20132,C1242,20-09-2024,S120,P501,3,81.08,243.24,Murrayview,New Jersey
20133,C3548,06-11-2024,S114,P400,1,308.93,308.93,Suzanneberg,Vermont
20134,C3869,03-03-2025,S110,P201,3,442.42,1327.26,Vanessaland,Texas
20135,C2584,22-07-2024,S109,P101,2,66.08,132.16,Mistytown,Maine
20136,C1364,05-10-2024,S106,P100,5,311.32,1556.6,Stevenside,Nevada
20137,C1202,17-07-2024,S120,P401,4,162.13,648.52,Robertside,Wisconsin
20138,C1709,29-04-2025,S113,P202,3,462.86,1388.58,Fieldsberg,Utah
20139,C3645,21-05-2025,S118,P100,4,72.31,289.24,West Robinfort,Wyoming
20140,C1834,13-05-2025,S111,P200,2,265.12,530.24,Jamieberg,Louisiana
20141,C3647,30-08-2024,S119,P402,5,101.94,509.7,New Stephen,Colorado
20142,C3303,04-01-2025,S118,P302,3,189.97,569.91,Allisonmouth,North Dakota
20143,C2976,01-10-2024,S108,P200,3,41.26,123.78,Port Richardport,Ohio
20144,C3550,30-06-2025,S114,P401,2,302.28,604.56,Janeview,Pennsylvania
20145,C1418,24-01-2025,S105,P401,4,189.45,757.8,Janicetown,Oregon
20146,C2784,23-12-2024,S106,P502,5,338.93,1694.65,West Nicholasland,Oregon
20147,C2734,16-08-2024,S111,P500,4,250.32,1001.28,West David,Pennsylvania
20148,C1013,13-05-2025,S102,P400,2,49.34,98.68,Devinport,Alaska
20149,C3637,15-07-2024,S116,P200,1,130.24,130.24,West Aaronside,Missouri
20150,C3786,27-09-2024,S108,P401,2,324.09,648.18,Lake Markhaven,New Hampshire
20151,C3094,01-01-2025,S106,P200,3,150.75,452.25,Kramerville,Wisconsin
20152,C2859,26-07-2024,S109,P301,3,379.72,1139.16,Stacychester,Nevada
20153,C1946,09-08-2024,S119,P502,5,358.96,1794.8,Lindamouth,Oregon
20154,C1520,03-07-2025,S111,P402,2,285.34,570.68,Danielton,Nevada
20155,C3552,15-03-2025,S106,P201,3,115.41,346.23,North Ashleytown,Vermont
20156,C2391,29-08-2024,S105,P302,2,466.66,933.32,South Jennifer,Washington
20157,C3786,03-09-2024,S109,P101,1,250.19,250.19,West Michaelfort,Missouri
20158,C2771,17-06-2025,S117,P401,1,470.76,470.76,Guzmanborough,South Carolina
20159,C1621,23-03-2025,S108,P502,5,406.5,2032.5,South Gregoryberg,Texas
20160,C2314,14-05-2025,S113,P400,3,243.15,729.45,Rodriguezshire,Hawaii
20161,C1314,07-12-2024,S101,P100,5,32.75,163.75,Lake Sherry,Utah
20162,C1420,23-02-2025,S104,P200,2,97.96,195.92,Port Williammouth,Louisiana
20163,C1436,29-08-2024,S105,P202,3,480.98,1442.94,Heatherfort,Massachusetts
20164,C1558,10-08-2024,S106,P101,5,260.89,1304.45,West Jennifer,South Dakota
20165,C1404,08-03-2025,S108,P202,3,456.5,1369.5,Ethanmouth,Kansas
20166,C3571,10-11-2024,S104,P200,4,411.23,1644.92,New Marthamouth,Maryland
20167,C2081,23-06-2025,S110,P402,2,65.76,131.52,West Brittany,Texas
20168,C1148,19-06-2025,S108,P201,1,174.68,174.68,Lake Courtneystad,Louisiana
20169,C3226,05-11-2024,S114,P300,5,202.45,1012.25,New Racheltown,Arizona
20170,C1321,04-11-2024,S103,P402,5,406.8,2034.0,East Courtneyhaven,Illinois
20171,C2731,20-08-2024,S117,P302,1,111.95,111.95,Smithstad,Maine
20172,C3892,06-08-2024,S112,P300,2,454.12,908.24,Phillipsville,Washington
20173,C2697,31-08-2024,S119,P201,3,398.62,1195.86,Sharishire,Georgia
20174,C3304,23-03-2025,S106,P100,2,361.46,722.92,Piercechester,South Carolina
20175,C3324,11-01-2025,S114,P100,3,227.77,683.31,Powerschester,Kentucky
20176,C1410,29-07-2024,S111,P200,2,354.57,709.14,Patelstad,Louisiana
20177,C3290,09-03-2025,S115,P301,3,77.45,232.35,Port Ronaldport,Florida
20178,C1027,07-08-2024,S105,P402,2,318.7,637.4,Port Daniel,Illinois
20179,C3768,29-12-2024,S118,P201,4,149.25,597.0,Ryanberg,Louisiana
20180,C3522,05-07-2025,S117,P200,5,309.86,1549.3,North Jennifer,Indiana
20181,C3456,02-11-2024,S111,P402,5,489.33,2446.65,Port Jessicaton,Colorado
20182,C3330,18-04-2025,S112,P101,5,223.95,1119.75,Mitchellton,Alaska
20183,C3735,19-04-2025,S116,P502,5,287.44,1437.2,Leeton,Tennessee
20184,C3570,02-07-2025,S118,P102,1,444.59,444.59,Nicholsport,North Dakota
20185,C1482,31-03-2025,S105,P302,4,143.71,574.84,Harringtonmouth,Maryland
20186,C3712,04-10-2024,S100,P202,1,303.33,303.33,West Danaville,Utah
20187,C2379,03-08-2024,S103,P100,3,54.61,163.83,Lake Thomastown,Hawaii
20188,C1891,28-08-2024,S114,P401,5,382.66,1913.3,Sarahburgh,Florida
20189,C2939,05-10-2024,S101,P201,2,109.32,218.64,Darylport,West Virginia
20190,C2672,30-01-2025,S113,P202,5,306.22,1531.1,North Peterchester,Utah
20191,C3209,23-12-2024,S108,P501,5,190.8,954.0,Karenborough,Alabama
20192,C1274,14-12-2024,S101,P200,1,198.75,198.75,Lake Christophermouth,Missouri
20193,C3522,21-11-2024,S108,P401,1,159.3,159.3,Davidfurt,Alaska
20194,C2489,30-06-2025,S109,P400,5,468.09,2340.45,Stephanieville,Minnesota
20195,C2797,08-02-2025,S115,P200,1,176.56,176.56,Davidmouth,Ohio
20196,C3786,11-10-2024,S101,P102,1,466.8,466.8,East Jamesborough,Kansas
20197,C1169,12-09-2024,S117,P201,3,290.9,872.7,Michaelbury,Montana
20198,C3497,19-03-2025,S114,P502,3,278.52,835.56,Wallacechester,California
20199,C2226,13-07-2024,S106,P500,3,435.15,1305.45,Katherineberg,Texas
20200,C3323,16-04-2025,S108,P300,2,58.91,117.82,Goodhaven,Oregon
20201,C3896,29-01-2025,S117,P300,1,92.72,92.72,Port Billyton,Michigan
20202,C1020,20-02-2025,S119,P400,4,78.08,312.32,Port Kyle,Kentucky
20203,C2116,14-12-2024,S101,P500,5,31.81,159.05,East Jason,Nevada
20204,C2298,18-05-2025,S103,P502,5,296.53,1482.65,South Donnaburgh,Hawaii
20205,C2467,09-11-2024,S101,P302,1,152.99,152.99,West Robinchester,Pennsylvania
20206,C3883,04-06-2025,S107,P501,1,335.96,335.96,Brentborough,South Carolina
20207,C3463,26-09-2024,S112,P301,3,360.44,1081.32,Sosahaven,Iowa
20208,C1748,09-09-2024,S105,P201,3,45.36,136.08,New Kennethshire,Delaware
20209,C3834,15-03-2025,S108,P401,4,76.47,305.88,Cherylland,Florida
20210,C1730,06-01-2025,S109,P202,5,372.5,1862.5,Andrewsmouth,Maryland
20211,C2629,07-02-2025,S100,P300,5,464.81,2324.05,South Adamchester,New Mexico
20212,C1342,18-08-2024,S114,P300,3,22.82,68.46,Sarahmouth,New Hampshire
20213,C3755,11-05-2025,S107,P302,3,77.73,233.19,East Melissaton,Nevada
20214,C2382,17-05-2025,S120,P502,4,268.68,1074.72,Amberfort,Nebraska
20215,C1724,16-01-2025,S100,P201,4,256.53,1026.12,Marieville,Arizona
20216,C1418,10-05-2025,S105,P500,5,327.28,1636.4,Candiceshire,Vermont
20217,C2063,16-11-2024,S105,P201,4,201.0,804.0,Leetown,Minnesota
20218,C1006,01-10-2024,S105,P500,5,404.06,2020.3,North Cherylland,Ohio
20219,C1062,28-11-2024,S119,P102,4,297.59,1190.36,North Louisville,Maine
20220,C1415,18-07-2024,S110,P402,2,185.39,370.78,Lake Geoffrey,California
20221,C3659,12-08-2024,S106,P500,1,239.9,239.9,Fernandezmouth,Oklahoma
20222,C3747,13-03-2025,S111,P200,4,36.89,147.56,Christopherbury,Massachusetts
20223,C1006,19-05-2025,S117,P200,4,303.29,1213.16,North Heather,Virginia
20224,C1965,04-04-2025,S114,P400,3,450.08,1350.24,North Diane,Georgia
20225,C2506,21-02-2025,S106,P401,5,235.77,1178.85,Port Shauntown,Delaware
20226,C3804,25-01-2025,S103,P400,4,77.8,311.2,Danielstad,Texas
20227,C1030,30-10-2024,S106,P300,2,121.31,242.62,East Monica,Iowa
20228,C2702,09-01-2025,S108,P201,4,291.94,1167.76,Jonesfurt,New Mexico
20229,C1966,01-08-2024,S102,P401,1,103.51,103.51,East Melissa,Utah
20230,C3060,18-09-2024,S107,P101,1,301.47,301.47,Lauraview,South Carolina
20231,C3835,10-03-2025,S109,P501,5,377.78,1888.9,South Juliachester,North Carolina
20232,C1808,13-04-2025,S102,P200,4,331.44,1325.76,Lake Kevinview,Connecticut
20233,C3518,09-09-2024,S100,P301,2,18.63,37.26,Port Aaronmouth,North Carolina
20234,C1481,20-06-2025,S107,P202,3,348.8,1046.4,Heatherville,Wisconsin
20235,C1802,13-04-2025,S112,P101,4,323.89,1295.56,East Nicoleport,New Hampshire
20236,C2253,05-11-2024,S113,P401,1,111.51,111.51,New Andreaville,Texas
20237,C2234,23-05-2025,S110,P201,1,375.98,375.98,Millerberg,Maryland
20238,C1555,22-02-2025,S106,P200,5,379.88,1899.4,Lake Steve,Maryland
20239,C3095,13-09-2024,S110,P201,2,417.05,834.1,Davidborough,Rhode Island
20240,C3508,11-04-2025,S118,P202,5,228.96,1144.8,West David,Maryland
20241,C2664,13-01-2025,S111,P202,3,302.08,906.24,New Trevor,Indiana
20242,C3626,09-09-2024,S107,P401,3,279.39,838.17,Jessicafort,Rhode Island
20243,C3032,31-03-2025,S100,P300,1,337.82,337.82,Nelsonshire,Rhode Island
20244,C2181,30-12-2024,S102,P401,1,477.75,477.75,Millerville,New Hampshire
20245,C1167,22-04-2025,S104,P200,1,168.5,168.5,New Marystad,Delaware
20246,C1034,31-12-2024,S114,P301,4,256.49,1025.96,Schmidtbury,Illinois
20247,C1580,12-02-2025,S115,P300,1,205.94,205.94,North Tonimouth,Wyoming
20248,C2035,18-11-2024,S103,P100,3,289.85,869.55,Kathleenborough,South Dakota
20249,C3478,18-07-2024,S120,P102,3,71.43,214.29,Amyview,Arkansas
20250,C1684,26-02-2025,S114,P400,4,467.83,1871.32,New Jasmine,Wyoming
20251,C2663,10-06-2025,S108,P202,1,101.87,101.87,Sharonhaven,Ohio
20252,C2712,11-05-2025,S116,P301,2,199.88,399.76,Michellechester,South Dakota
20253,C2252,03-01-2025,S112,P402,4,244.59,978.36,East Meghanville,New Mexico
20254,C3104,21-05-2025,S113,P402,2,199.34,398.68,Port Seanberg,Nevada
20255,C1844,14-10-2024,S107,P200,1,348.55,348.55,Ryanstad,Michigan
20256,C3944,14-03-2025,S117,P201,5,389.69,1948.45,Ellisborough,Illinois
20257,C3625,11-11-2024,S113,P200,4,10.57,42.28,Davidland,Wisconsin
20258,C1288,11-07-2024,S109,P400,5,287.67,1438.35,Zunigaside,Georgia
20259,C3212,10-07-2025,S111,P501,5,56.07,280.35,New Michael,Montana
20260,C1504,19-07-2024,S113,P101,4,183.8,735.2,Brandonchester,Oklahoma
20261,C2336,20-09-2024,S104,P100,5,148.75,743.75,Samuelside,Texas
20262,C1753,18-04-2025,S105,P400,4,262.56,1050.24,New David,North Dakota
20263,C2654,23-02-2025,S102,P501,5,163.56,817.8,West Tonytown,Texas
20264,C2557,10-07-2025,S112,P300,1,287.15,287.15,Danielland,Vermont
20265,C3542,22-01-2025,S106,P102,3,311.36,934.08,Lake Kristenstad,New York
20266,C2850,22-04-2025,S116,P202,3,477.06,1431.18,Jessicaton,Colorado
20267,C1177,03-09-2024,S113,P500,5,257.29,1286.45,West Bobby,Maine
20268,C3881,07-11-2024,S107,P500,2,36.87,73.74,Hayesberg,Wisconsin
20269,C3986,20-03-2025,S102,P302,4,370.99,1483.96,Georgetown,Oregon
20270,C1870,04-12-2024,S100,P100,1,77.29,77.29,West Elizabeth,Tennessee
20271,C2485,17-01-2025,S120,P200,5,316.41,1582.05,North Wendyfurt,Florida
20272,C1570,04-08-2024,S118,P501,1,350.17,350.17,East Jennifer,Alabama
20273,C1806,19-04-2025,S101,P200,4,84.7,338.8,Medinafurt,Virginia
20274,C1614,05-11-2024,S107,P200,3,370.63,1111.89,Perezmouth,Maryland
20275,C2471,15-10-2024,S102,P202,5,312.47,1562.35,West Bethany,Tennessee
20276,C3566,26-10-2024,S119,P102,1,479.08,479.08,South Jessicaside,Massachusetts
20277,C1997,12-06-2025,S117,P501,4,460.48,1841.92,Elizabethville,Arkansas
20278,C2916,24-06-2025,S112,P402,2,225.11,450.22,Angelaberg,Oklahoma
20279,C1031,12-09-2024,S120,P402,2,130.47,260.94,Adamshire,Arizona
20280,C3429,31-07-2024,S112,P502,3,99.35,298.05,South Matthew,Colorado
20281,C3811,22-07-2024,S108,P401,1,159.25,159.25,West Michaeltown,Arkansas
20282,C1810,23-04-2025,S100,P501,3,235.16,705.48,North Angelatown,Texas
20283,C1264,19-01-2025,S109,P400,1,197.24,197.24,South Joshualand,New Jersey
20284,C3516,11-02-2025,S120,P502,3,406.65,1219.95,Michaelton,South Carolina
20285,C1578,31-12-2024,S101,P102,5,354.48,1772.4,South Danielshire,Idaho
20286,C1853,14-08-2024,S100,P202,5,48.78,243.9,Lake Willie,South Carolina
20287,C3649,14-06-2025,S106,P102,3,126.43,379.29,Melaniemouth,Missouri
20288,C3372,14-09-2024,S117,P500,3,450.23,1350.69,West Ericaville,Minnesota
20289,C2020,25-06-2025,S106,P100,4,299.53,1198.12,Port Richard,California
20290,C2861,16-05-2025,S108,P102,3,497.9,1493.7,North Amandaville,Oregon
20291,C2158,21-01-2025,S107,P501,1,435.32,435.32,Lake Erinbury,Montana
20292,C3419,11-08-2024,S105,P201,1,414.63,414.63,Robertshire,Georgia
20293,C3130,23-05-2025,S108,P502,1,79.62,79.62,West Johnland,Georgia
20294,C2547,01-02-2025,S118,P300,4,52.37,209.48,Kimmouth,Ohio
20295,C2118,25-02-2025,S101,P202,4,406.37,1625.48,Amberhaven,New Mexico
20296,C1469,17-10-2024,S120,P502,5,385.68,1928.4,East Joeberg,Wyoming
20297,C1425,08-09-2024,S106,P400,2,127.86,255.72,Dukehaven,Louisiana
20298,C3722,29-04-2025,S109,P400,3,246.56,739.68,Ericport,Michigan
20299,C1650,05-05-2025,S105,P100,2,243.16,486.32,South James,New Hampshire
20300,C1500,03-07-2025,S110,P402,3,304.48,913.44,East Robert,Louisiana
20301,C2433,08-11-2024,S102,P201,5,113.06,565.3,Nancyland,Florida
20302,C1300,09-04-2025,S103,P400,3,251.6,754.8,Port Clairemouth,Minnesota
20303,C2681,08-12-2024,S116,P401,3,360.13,1080.39,Lake Sharon,Arizona
20304,C1698,04-02-2025,S119,P301,1,413.32,413.32,Bairdmouth,Wyoming
20305,C3473,11-10-2024,S120,P100,1,444.81,444.81,East Jasonshire,South Carolina
20306,C3761,22-06-2025,S110,P101,5,388.46,1942.3,Port Austinhaven,Illinois
20307,C1332,25-05-2025,S103,P100,5,190.14,950.7,Barbermouth,Wisconsin
20308,C1539,24-05-2025,S106,P100,3,198.15,594.45,Simmonsville,California
20309,C3425,15-06-2025,S112,P300,3,320.59,961.77,Millerside,Missouri
20310,C1398,19-07-2024,S108,P500,5,300.17,1500.85,New Shelley,Washington
20311,C3839,25-07-2024,S107,P102,1,426.06,426.06,South Nicole,South Dakota
20312,C2634,07-07-2025,S115,P301,2,407.94,815.88,South Colleenfort,North Carolina
20313,C1389,02-04-2025,S112,P401,1,80.0,80.0,New Jennifer,Maine
20314,C3592,03-06-2025,S117,P502,2,236.95,473.9,Owensshire,South Carolina
20315,C3811,02-12-2024,S114,P501,4,261.17,1044.68,Andersonside,Vermont
20316,C1814,19-10-2024,S117,P102,1,428.34,428.34,South Donaldchester,Maryland
20317,C2817,02-10-2024,S101,P201,4,338.05,1352.2,Briannaborough,Louisiana
20318,C3935,02-05-2025,S108,P300,1,327.72,327.72,Markside,West Virginia
20319,C3272,03-12-2024,S100,P400,1,495.03,495.03,Smithberg,Arizona
20320,C1882,06-11-2024,S103,P202,2,471.38,942.76,Lake Laurie,North Carolina
20321,C1707,08-12-2024,S109,P102,3,420.91,1262.73,South Amyton,Washington
20322,C1085,21-06-2025,S108,P102,3,371.6,1114.8,Derekview,Mississippi
20323,C3181,16-09-2024,S120,P301,4,287.87,1151.48,Waltonchester,Utah
20324,C3304,06-11-2024,S113,P501,2,400.24,800.48,South Maria,Delaware
20325,C1064,17-07-2024,S100,P201,5,466.7,2333.5,Jessicahaven,Rhode Island
